workplanitem_id,title,text,fiscal_year,source_document
wp_abn,Advance Beneficiary Notices,"Physicians must provide advance notices before they provide services that they know or believe Medicare does not consider medically necessary or that Medicare will not reimburse. Beneficiaries who are not notified before they receive such services are not responsible for payment. As a result, the OIG intends to examine the use of advance notices to Medicare beneficiaries and their financial impact on beneficiaries and providers.",Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
wp_em,Physician Evaluation and Management Codes,The OIG will continue its initiative to determine whether physicians correctly coded E&M services in physician offices and effectively used documentation guidelines.,Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
wp_consults,Consultations,The OIG will determine the appropriateness of billings for physician consultation services.,Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
wp_incident_to,Services and Supplies Incident to Physicians' Services,"Physicians may bill for the services provided by allied health professionals such as nurses, technicians, and therapists as incident to their professional services. Incident-to services, which are paid at 100 percent of the Medicare physician fee schedule, must be provided by an employee of the physician and under the physician's direct supervision. The OIG will investigate the quality and appropriateness of these billings.",Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
wp_reassignment,Reassignment of Benefits,The OIG will examine the use of staffing companies and how this practice affects emergency department physicians to identify any vulnerabilities in relation to Medicare reassignment rules.,Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
wp_teaching,Physicians at Teaching Hospitals,The OIG is continuing its initiative to verify compliance with Medicare rules governing payment for physician services provided in the teaching hospital setting to ensure that claims accurately reflect the level of service provided to patients.,Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
wp_residents,Billing for Residents' Services,"Medicare regulations allow residents, who are licensed physicians, to be issued physician identification numbers for purposes of billing Medicare for their services. Residents may bill Medicare only when they are “moonlighting,” which is defined as providing medical treatment, other than in their field of study, in an outpatient clinic or an emergency room. The OIG will determine whether hospitals have improperly used residents' physician identification numbers to bill Medicare.",Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
wp_dialysis,Inpatient Dialysis Services,Inpatient Dialysis Services,Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
wp_bone_density,Bone-Density Screening,Bone-Density Screening,Fiscal Year 2002,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
