section_id,chapter_id,title,page,source_document
sec_intro_other_mms,ch_intro,Other MMS Resources,4,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_1_responding,ch_1,Responding to the OIG's Final Compliance Guidance for Individual and Small Group Physician Practices,5,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_1_stepbystep,ch_1,Step-by-Step Approach,5,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_2_fed_criminal,ch_2,Federal Criminal Statutes,11,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_2_perjury,ch_2,Perjury and False Statements,15,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_2_ma_criminal,ch_2,Massachusetts Criminal Statutes,15,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_2_civil_admin,ch_2,Civil and Administrative Statutes,16,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_2_self_referral,ch_2,Federal Physician Self-Referral Prohibitions,17,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_2_civil_sanctions,ch_2,Civil Sanctions Fines and Exclusions,18,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_2_state_admin,ch_2,State Administrative and Licensing Consequences,19,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_2_fraud_alerts,ch_2,Fraud Alerts,20,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_3_risk_areas,ch_3,Risk Areas Identified in the OIG's Compliance Program Guidance for Individual and Small Physician Practices,23,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_3_workplan,ch_3,OIG's Fiscal Year 2002 Work Plan,25,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_3_additional_risk,ch_3,Additional Risk Areas Identified by the OIG in the Compliance Program Guidance for Individual and Small Physician Practices,26,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_4_sample_program,ch_4,Sample Fraud and Abuse Compliance Program,29,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_4_compliance_statement,ch_4,Compliance Statement,32,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_4_handbook,ch_4,Fraud and Abuse Compliance Program Educational Handbook (In-Service Training),33,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_4_code_of_conduct,ch_4,Sample Code of Conduct Relating to Coding and Billing Practices,34,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sec_4_officer_outline,ch_4,Outline of Compliance Officer Responsibilities,39,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
