penalty_id,statute_id,title,text,amount,source_document
pen_fca_per_claim,stat_civil_fca,Civil penalty per false claim,"Each individual false claim submitted to Medicare/Medicaid gives rise to potential penalties between $5,500 and $11,000, coupled with treble damages for the amounts paid by the government. Consequently, each false “line item” claimed can result in thousands of dollars of liability.","$5,500 to $11,000 per claim, plus treble damages","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
pen_stark_cmp,stat_stark,Civil monetary penalty and exclusion,"A physician can be subject to a civil monetary penalty of up to $15,000 per claim for each prohibited service and exclusion from the Medicare and Medicaid programs.","Up to $15,000 per claim; exclusion","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
pen_cmp_10000,stat_ma_other,Civil money penalties,"Civil money penalties of up to $10,000 per item or service, plus an assessment of up to three times the amount claimed for each such item or service, may be imposed upon any provider who knowingly presents or causes to be presented a claim for Medicare or Medicaid reimbursement that: Is for an item or service that the person knows or should know was not provided as claimed; Is for an item or service and the person knows or should know the claim is false or fraudulent; and/or Is presented for a physician's service by a person who knows or should know that the individual who furnished the service was not properly licensed as a physician or is a physician who falsely claimed to the patient that he or she is specialty certified by a medical specialty board.","Up to $10,000 per item or service, plus up to treble assessment","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
pen_ma_fca_treble,stat_ma_medicaid_fca,State civil penalties,"In addition to criminal penalties, the Act provides for civil penalties of treble damages and the cost of the government investigation and litigation.",Treble damages plus costs of investigation and litigation,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
pen_mandatory_exclusion,stat_ma_other,Mandatory exclusion,Individuals or entities convicted of any of the following crimes must be excluded from participation in Medicare and Medicaid for a minimum of five years.,Minimum five years exclusion,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
pen_permissive_exclusion,stat_ma_other,Permissive exclusion,There are a number of grounds for which the OIG has discretion to exclude a physician from the Medicare and Medicaid programs for a minimum of three years.,Minimum three years exclusion,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
