statuteclause_id,statute_id,heading,text,source_document
sc_fca_elements,stat_civil_fca,Elements of liability,"To establish liability under the FCA, the government must establish the following: (1) the provider presented or caused to be presented to an agent of the United States a claim for payment, (2) the claim was false or fraudulent, and (3) the defendant knew that the claim was false or fraudulent.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_fca_knowledge,stat_civil_fca,Knowledge standard,"Importantly, the knowledge requirement for liability under the civil FCA is lower than under the criminal statute. The civil FCA defines “knowing” and “knowingly” as either actual knowledge, deliberate ignorance, or the “reckless disregard of the truth or falsity of the information.”","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_fca_no_intent,stat_civil_fca,No requirement of deliberate intent,"As a result, a physician does not have to deliberately intend to defraud the government to be liable. Liability can be imposed on a provider who has deliberately or recklessly chosen to ignore the truth or falsity of the information on a claim submitted for payment, when the provider knows, or has noticed, that information may be false.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_fca_innocent,stat_civil_fca,Innocent mistakes and errors,"At the same time, physicians are not subject to criminal, civil, or administrative penalties for innocent mistakes or errors, or even negligence. Specifically, the Department of Justice has stated that where billing errors, honest mistakes, or negligence result in improper claims the provider may be asked to return the funds, but without penalties.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_fca_oig_quote,stat_civil_fca,OIG statement on erroneous claims,"“Even ethical physicians (and their staffs) make billing mistakes and errors through inadvertence or negligence. When physicians discover that their billing errors, honest mistakes, or negligence result in erroneous claims, the physician practice should return the funds erroneously claimed, but without penalties. In other words, absent a violation of a civil, criminal, or administrative law, erroneous claims result only in the return of funds claimed in error.”","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_aks_purpose,stat_aks,General purpose,"The general purpose of this statute is to prohibit anyone from paying or accepting a payment in exchange for referring a patient for services that might be covered by the Medicare and Medicaid programs. What this means is that a physician cannot give gifts or anything of value in order to induce referrals of patients to his or her practice. Furthermore, the opposite is also true: A physician cannot accept gifts or things of value from a vendor, such as a medical laboratory, in order to do business with that vendor. Examples: cash, vacations, gift certificates, etc.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_aks_recruitment,stat_aks,Recruitment incentives,"Of interest to physicians is the fact that many standard recruitment incentives offered by hospitals to physicians may constitute illegal remuneration. In 1992, the OIG issued a Special Fraud Alert identifying numerous physician incentives as suspect. The theory underlying the OIG's alert is that these discounts and incentives are, in fact, payments for the referral of Medicare-paying patients to the hospital.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_aks_safe_harbor_basis,stat_aks,Safe Harbor Regulations,"Because the literal wording of the Anti-Kickback Statute prohibits a number of transactions generally believed to be necessary or beneficial to the health care industry, Congress authorized the creation of a number of “safe harbors” that permit conduct prohibited under this act. A physician entering into an arrangement involving any of the above practices, or where there is the potential for the referral of patients for services, should consult with a competent health care attorney.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_stark_referral_def,stat_stark,Meaning of referral and violation,"For the purpose of the Stark laws, the term “referral” is defined as an item or service for which payment may be made by Medicare/Medicaid. In the event a patient obtains an item or service from an entity in which the physician or family member has a financial relationship, the Stark Law is violated unless one of the statutory or regulatory exceptions apply.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_stark_no_intent,stat_stark,No intent requirement,"Unlike the Anti-Kickback Statute, which is a statute separate and apart from the Stark Law, an intent to violate the Stark Law is not required for penalties to be imposed. Stark is entirely objective and a “zero tolerance” statute. Thus, knowledge of the scope and application of the Stark Law is crucial to avoid sanctions.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
sc_stark_scope_caveat,stat_stark,Scope caveat and advice,"It is beyond the scope of this memorandum to discuss the Stark laws and the various statutory and regulatory exceptions in any detail. Our advise is simple: If a physician or an immediate family member has a financial interest in one of the “designated health services,” seek legal advice about the arrangement, as the penalties under the law are very severe.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
