definition_id,term,definition,defined_in,source_document
def_false_claim,false claim,Knowingly and willfully making or causing to be made any false statement or representation of material fact in any application (claim) for benefits or payments under a federal health care program (including Medicare or Medicaid).,fc_hb_fca,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_knowing,knowing / knowingly,"The civil FCA defines “knowing” and “knowingly” as either actual knowledge, deliberate ignorance, or the “reckless disregard of the truth or falsity of the information.”",sc_fca_knowledge,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_referral,referral,"For the purpose of the Stark laws, the term “referral” is defined as an item or service for which payment may be made by Medicare/Medicaid.",sc_stark_referral_def,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_remuneration,remuneration,"any remuneration (which includes payments and anything else of value) whether direct or indirect, overt or covert, in cash or in kind",stat_aks,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_fair_market_value,fair market value,The OIG's definition of “fair market value” excludes any value attributable to referrals of federal program business or the ability to influence the flow of such business.,ra_inducements,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_reasonable_necessary,reasonable and necessary,“… for the diagnosis or treatment of illness or injury or to improve the functioning of a malformed body member.”,ra_reasonable_necessary,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_upcoding,upcoding,Upcoding is billing for a more expensive service than the one actually performed.,ra_cb_upcoding,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_unbundling,unbundling,Unbundling is the practice of a physician billing for multiple components of a service that must be included in a single fee.,ra_cb_unbundling,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_clustering,clustering,"This is the practice of coding/charging one or two middle levels of service codes exclusively, under the philosophy that some will be higher, some lower, and the charges will average out over an extended period.",ra_cb_clustering,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_double_billing,double billing,Double billing occurs when a physician bills for the same item or service more than once.,ra_cb_double_billing,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_modifier,modifier,"A modifier, as defined by the CPT-4 manual, provides the means by which a physician practice can indicate when a service or procedure that has been performed has been altered by some specific circumstance but not changed in its definition or code.",ra_cb_modifiers,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_professional_courtesy,professional courtesy,"The traditional definition is the practice by a physician of waiving all or a part of the fee for services provided to the physician's office staff, other physicians, and/or their families.",ra_professional_courtesy,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_moonlighting,moonlighting,"Residents may bill Medicare only when they are “moonlighting,” which is defined as providing medical treatment, other than in their field of study, in an outpatient clinic or an emergency room.",wp_residents,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
def_compliance_program,compliance program,"In the context of a physician practice, a compliance program is basically a set of principles and protocols focused on insuring the practice's compliance with applicable laws and regulations.",sec_1_responding,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
