riskarea_id,name,listing,text,source_document
ra_core_coding,Improper coding and billing,"Four potential risk areas that affect most physician practices (Chapter 1, Step 1)",Improper coding and billing,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_core_reasonable,Ensuring that services are reasonable and necessary,"Four potential risk areas that affect most physician practices (Chapter 1, Step 1)",Ensuring that services are reasonable and necessary,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_core_documentation,Proper documentation,"Four potential risk areas that affect most physician practices (Chapter 1, Step 1)",Proper documentation,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_core_inducements,"Avoiding improper inducements, kickbacks, and self-referrals","Four potential risk areas that affect most physician practices (Chapter 1, Step 1)","Avoiding improper inducements, kickbacks, and self-referrals","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_not_rendered,Billing for items or services not rendered or not provided as claimed,Coding and billing risk areas (Chapter 3),"Billing for items or services not rendered or not provided as claimed. For example, an ophthalmologist billed for laser surgery he did not perform. As one element of proof, he did not even have laser equipment or access to such equipment at the place of service designated on the claim form where he performed the surgery.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_not_reasonable,"Submitting claims for equipment, medical supplies, and services that are not reasonable and necessary",Coding and billing risk areas (Chapter 3),"Submitting claims for equipment, medical supplies, and services that are not reasonable and necessary. This involves seeking reimbursement for a service that is not warranted by a patient's documented medical condition.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_double_billing,Double billing resulting in duplicate payment,Coding and billing risk areas (Chapter 3),"Double billing resulting in duplicate payment. Double billing occurs when a physician bills for the same item or service more than once. Although duplicate billing can occur due to simple error, the knowing submission of duplicate claims, which is sometimes evidenced by systematic or repeated double billing, can result in liability.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_noncovered,Billing for non-covered services as if covered,Coding and billing risk areas (Chapter 3),"Billing for non-covered services as if covered. For example, Dr. Y bills Medicare using a covered office visit code when the actual service was a non-covered annual physical. Physician practices should remember that “necessary” does not always constitute “covered” and that this example is a misrepresentation of services to the federal health care programs.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_provider_numbers,Knowing misuse of provider identification numbers that results in improper billing,Coding and billing risk areas (Chapter 3),"Knowing misuse of provider identification numbers that results in improper billing. An example of this is when the practice bills for a service performed by Dr. B, who has not yet been issued a Medicare provider number, using Dr. A's Medicare provider number. Physician practices need to bill using the correct Medicare provider number, even if that means delaying billing until the physician receives his or her provider number.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_unbundling,Unbundling Comprehensive Procedure Codes,Coding and billing risk areas (Chapter 3),"Unbundling Comprehensive Procedure Codes. Unbundling is the practice of a physician billing for multiple components of a service that must be included in a single fee. For example, if dressings and instruments are included in a fee for a minor procedure, the provider may not also bill separately for the dressings and instruments.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_modifiers,Failure to properly use coding modifiers,Coding and billing risk areas (Chapter 3),"Failure to properly use coding modifiers. A modifier, as defined by the CPT-4 manual, provides the means by which a physician practice can indicate when a service or procedure that has been performed has been altered by some specific circumstance but not changed in its definition or code.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_clustering,Clustering,Coding and billing risk areas (Chapter 3),"Clustering. This is the practice of coding/charging one or two middle levels of service codes exclusively, under the philosophy that some will be higher, some lower, and the charges will average out over an extended period. In reality, this overcharges some patients while undercharging others.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_cb_upcoding,Upcoding the level of service provided,Coding and billing risk areas (Chapter 3),"Upcoding the level of service provided. Upcoding is billing for a more expensive service than the one actually performed. For example, Dr. X intentionally bills at a higher E&M code than what he actually renders to the patient.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_reasonable_necessary,Reasonable and Necessary Services,Risk areas identified in the OIG guidance (Chapter 3),"The OIG recognizes that physicians should be able to order any tests, including screening tests, they believe are appropriate for the treatment of their patients. However, a physician practice should be aware that Medicare will only pay for services that meet the Medicare definition of reasonable and necessary. “… for the diagnosis or treatment of illness or injury or to improve the functioning of a malformed body member.”","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_documentation,Documentation,Risk areas identified in the OIG guidance (Chapter 3),"Timely, accurate, and complete documentation is important to clinical patient care. This same documentation serves as a second function when a bill is submitted for payment, namely, as verification that the bill is accurate as submitted.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hcfa1500,HCFA 1500 Form,Risk areas identified in the OIG guidance (Chapter 3),Another documentation area for physician practices to monitor closely is the proper completion of the HCFA 1500 form.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_inducements,"Improper Inducements, Kickbacks, and Self-Referrals",Risk areas identified in the OIG guidance (Chapter 3),"The Anti-Kickback Statute provides criminal penalties for individuals and entities that knowingly offer, pay, solicit, or receive bribes or kickbacks or other remuneration in order to induce business reimbursable by federal health care programs. Remuneration for referrals is illegal because it can distort medical decision making, cause overutilization of services or supplies, increase costs to federal health care programs, and result in unfair competition by shutting out competitors who are unwilling to pay for referrals. Remuneration for referrals can also affect the quality of patient care by encouraging physicians to order services or supplies based on profit rather than the patients' best medical interests. Civil penalties, exclusion from participation in the federal health care programs, and civil False Claims Act liability may also result from a violation of the prohibition.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_lmrp,Local Medical Review Policy,Additional risk areas identified by the OIG (Chapter 3),"An area of concern for physicians relating to determinations of reasonable and necessary services is the variation in local medical review policies (LMRPs) among carriers. Physicians are supposed to bill the federal health care programs only for items and services that are reasonable and necessary. However, in order to determine whether an item or service is reasonable and necessary under Medicare guidelines, the physician must apply the appropriate LMRP.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
