chapter_id,chapter_label,title,page,source_document
ch_intro,Introduction,Introduction,3,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ch_1,Chapter 1,Overview,5,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ch_2,Chapter 2,Summary of Fraud and Abuse Laws,11,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ch_3,Chapter 3,Fraud and Abuse Initiatives by the Federal OIG,23,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ch_4,Chapter 4,Fraud and Abuse Compliance Program Forms,29,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ch_5,Chapter 5,Conclusory Remarks,45,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
