compliancestep_id,step_number,title,summary,detail,source_document
step_1,1,Auditing and Monitoring,"If a practice is to benefit from a compliance program, it must address the specific risk areas and issues relevant to that practice. Consequently, the crucial first step to implementing a compliance program is the review/maintenance of a practice's policies and standards and the identification of the practice's risk areas. The OIG recommends that practice policies and standards be updated periodically to ensure they are current in light of changes to federal laws and regulations, as well as to CPT and ICD-9 codes. The OIG also suggests reviewing its current work plan and semiannual reports to identify additional risk areas.","The OIG recommends that the practice review five or more medical records for each federal program (Medicare, Medicaid, CHAMPUS, etc.) the practice participates in or 5 to 10 records per physician. This should be the minimum number of records reviewed, as the larger the sample size the greater the comfort level the practice will have with the results of its internal audit. Following this baseline review, the OIG recommends the practice conduct periodic audits at least once a year to insure that the compliance program is being followed. If the baseline audit or subsequent audit reveals problems or overpayments, the practice should repay any overpayments and engage in focused reviews and monitoring of the detected problem areas.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
step_2,2,Establishing Written Policies and Procedures,Written standards and procedures act as a central component to any compliance plan. These standards should include an identification of the practice's risk areas and procedures for the staff to follow when incidents occur. It is critical that a small group practice implementing a compliance plan document its policies and make them available to staff. It is especially important that the responsibilities and expectations of employees be incorporated into the code of conduct.,"The OIG recommends creating a compliance resource manual that contains not only the practice's written standards and procedures but also relevant Medicare directives and carrier bulletins, as well as summaries of OIG Special Fraud Alerts and advisory opinions.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
step_3,3,Appointing a Compliance Officer,"Following the completion of an internal audit and the development of policies, a practice should appoint one or more staff members to serve as “compliance officers” to monitor compliance activity and develop corrective action plans when necessary. For small practices, the OIG suggests that compliance officer responsibilities can be divided among several staff members who will act as contacts with regard to particular areas.","However, one person, preferably a physician member of the practice, should have overall responsibility for the compliance program. It is critical for the successful operation of any compliance program that whoever is assigned or chosen for this task should be approachable by the staff. Additionally, the OIG indicates that it may be appropriate for a practice to outsource compliance officer responsibilities.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
step_4,4,Training and Education,"Following the appointment of a compliance officer, a training strategy should be developed that will allow staff to become familiar with the practice's risk areas, policies, and procedures. The goal of training and education is to ensure that practice staff is educated and aware of the rules and regulations governing the practice's business, as well as the particular risk areas to avoid and monitor. The OIG notes that the extent and level of education and training will differ depending upon the needs and size of each practice.","Education and training sessions should generally address two areas: (1) compliance training for all staff and (2) coding and billing training for individuals involved in the practice's claims procedures. Finally, compliance training must be conducted on a continuing basis. The OIG recommends that there be at least annual training of all individuals involved in the coding and billing aspects of the practice.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
step_5,5,Responding to Detected Offenses and Developing Corrective Action Initiatives,"A practice must respond to indications of compliance violations. If a violation or an overpayment is alleged or discovered, the compliance officer should conduct an investigation to determine the nature and scope of the potential problem. Depending upon the issue discovered, it may be appropriate for a corrective action plan to be created, for overpayments to be returned, or, in some cases, for the practice to make a voluntary disclosure to the government.","Although the voluntary disclosure of an overpayment or abusive conduct does not prevent the OIG from bringing an enforcement action or the U.S. Attorney from initiating a civil or criminal proceeding, both the OIG and the Department of Justice consider the act of voluntary disclosure to be a mitigating factor in determining whether to bring such an action. The OIG stresses that “if the physician practice ignores reports of possible fraudulent activity, it is undermining the very purpose it hoped to achieve by implementing a compliance program.”","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
step_6,6,Developing Open Lines of Communication,"An open line of communication between staff and the management of a practice is critical to the successful operation of a compliance program. Providing staff with an easy mechanism for reporting potential problems or violations allows the practice to address and eliminate compliance issues before they escalate. In its other guidance, the OIG recommends the use of telephone hotlines or e-mail systems to allow anonymous reporting.","With regard to smaller physician practices, the OIG recognizes the cost-prohibitive nature of such systems and suggests the use of “open door” policies, bulletin boards, and other such low-cost methodologies — an anonymous “drop box” for complaints or concerns, for instance. Primarily, the OIG emphasizes the importance of creating an environment where staff members are encouraged to report potential issues without fear of retribution for doing so.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
step_7,7,Enforcing Disciplinary Standards through Use of Well-Publicized Guidelines,"The OIG's final recommendation to individual and small group physician practices is that staff members be made aware of the consequences resulting from acting in a noncompliant manner. The OIG indicates that effective compliance programs have procedures for dealing with individuals who violate the practice's policies or compliance standards and that such procedures are well publicized (i.e., included in training manuals).","Disciplinary action should also be imposed against any employee who fails to reasonably detect or report violations of the compliance program. A practice should use consistent and appropriate sanctions while, at the same time, taking into account both mitigating and aggravating circumstances. Finally, as stated above, disciplinary action can range from written warnings and reprimands to suspension and/or discharge. As with every other component of the compliance program, all disciplinary actions should be documented.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
