source_id,target_id,rel_type,term
sec_62,def_adgm,DEFINES,ADGM
sec_62,def_applicable_law,DEFINES,Applicable Law
sec_62,def_archiving_and_research_purposes,DEFINES,Archiving and Research Purposes
sec_62,def_binding_corporate_rules,DEFINES,Binding Corporate Rules
sec_62,def_biometric_data,DEFINES,Biometric Data
sec_62,def_child,DEFINES,Child
sec_62,def_commissioner_of_data_protection,DEFINES,Commissioner of Data Protection
sec_62,def_consent,DEFINES,Consent
sec_62,def_controller,DEFINES,Controller
sec_62,def_court_procedure_rules,DEFINES,Court Procedure Rules
sec_62,def_data_concerning_health,DEFINES,Data Concerning Health
sec_62,def_data_protection_fee,DEFINES,Data Protection Fee
sec_62,def_data_protection_impact_assessment,DEFINES,Data Protection Impact Assessment
sec_62,def_data_protection_officer,DEFINES,Data Protection Officer
sec_62,def_data_subject,DEFINES,Data Subject
sec_62,def_direction,DEFINES,Direction
sec_62,def_establishment,DEFINES,Establishment
sec_62,def_filing_system,DEFINES,Filing System
sec_62,def_gdpr,DEFINES,GDPR
sec_62,def_genetic_data,DEFINES,Genetic Data
sec_62,def_group,DEFINES,Group
sec_62,def_high_risk_processing_activities,DEFINES,High Risk Processing Activities
sec_62,def_international_organisation,DEFINES,International Organisation
sec_62,def_office_of_data_protection,DEFINES,Office of Data Protection
sec_62,def_penalty_notice,DEFINES,Penalty Notice
sec_62,def_personal_data,DEFINES,Personal Data
sec_62,def_personal_data_breach,DEFINES,Personal Data Breach
sec_62,def_processing,DEFINES,Processing
sec_62,def_processor,DEFINES,Processor
sec_62,def_profiling,DEFINES,Profiling
sec_62,def_pseudonymisation,DEFINES,Pseudonymisation
sec_62,def_recipient,DEFINES,Recipient
sec_62,def_renewal_fee,DEFINES,Renewal Fee
sec_62,def_requesting_authority,DEFINES,Requesting Authority
sec_62,def_special_categories_of_personal_data,DEFINES,Special Categories of Personal Data
sec_62,def_staff,DEFINES,Staff
sec_62,def_state_of_the_art,DEFINES,State Of The Art
sec_62,def_supervisory_authority,DEFINES,Supervisory Authority
sec_62,def_third_party,DEFINES,Third Party
