source_id,target_id,rel_type,reference
sub_4-2,sub_4-1,CROSS_REFERENCES,4(1)
sub_5-2,para_5-1-e,CROSS_REFERENCES,5(1)(e)
sub_5-3,para_4-1-b,CROSS_REFERENCES,4(1)(b)
sub_7-3,sub_7-2,CROSS_REFERENCES,7(2)
sub_8-2,sub_8-1,CROSS_REFERENCES,8(1)
sub_8-3,sec_13,CROSS_REFERENCES,13
sub_8-3,sec_18,CROSS_REFERENCES,18
sub_8-3,sec_14,CROSS_REFERENCES,14
sub_8-3,sec_15,CROSS_REFERENCES,15
sub_8-3,sec_16,CROSS_REFERENCES,16
sub_8-3,sec_17,CROSS_REFERENCES,17
sub_10-1,sec_11,CROSS_REFERENCES,11
sub_10-1,sec_12,CROSS_REFERENCES,12
sub_10-1,sec_13,CROSS_REFERENCES,13
sub_10-1,sec_20,CROSS_REFERENCES,20
sub_10-1,sec_14,CROSS_REFERENCES,14
sub_10-1,sec_15,CROSS_REFERENCES,15
sub_10-1,sec_16,CROSS_REFERENCES,16
sub_10-1,sec_17,CROSS_REFERENCES,17
sub_10-1,sec_18,CROSS_REFERENCES,18
sub_10-1,sec_19,CROSS_REFERENCES,19
sub_10-1,sec_32,CROSS_REFERENCES,32
sub_10-2,sec_13,CROSS_REFERENCES,13
sub_10-2,sec_20,CROSS_REFERENCES,20
sub_10-2,sec_14,CROSS_REFERENCES,14
sub_10-2,sec_15,CROSS_REFERENCES,15
sub_10-2,sec_16,CROSS_REFERENCES,16
sub_10-2,sec_17,CROSS_REFERENCES,17
sub_10-2,sec_18,CROSS_REFERENCES,18
sub_10-2,sec_19,CROSS_REFERENCES,19
sub_10-2,sub_8-3,CROSS_REFERENCES,8(3)
sub_10-3,sub_10-4,CROSS_REFERENCES,10(4)
sub_10-3,sec_13,CROSS_REFERENCES,13
sub_10-3,sec_20,CROSS_REFERENCES,20
sub_10-3,sec_14,CROSS_REFERENCES,14
sub_10-3,sec_15,CROSS_REFERENCES,15
sub_10-3,sec_16,CROSS_REFERENCES,16
sub_10-3,sec_17,CROSS_REFERENCES,17
sub_10-3,sec_18,CROSS_REFERENCES,18
sub_10-3,sec_19,CROSS_REFERENCES,19
sub_10-4,sub_10-3,CROSS_REFERENCES,10(3)
sub_10-6,sec_11,CROSS_REFERENCES,11
