section_id,number,title,part_id,text,source_document
sec_1,1,Subject-matter and objectives,part_I,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_2,2,Material scope,part_I,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_3,3,Territorial scope,part_I,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_4,4,Principles relating to Processing of Personal Data,part_II,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_5,5,Lawfulness of Processing,part_II,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_6,6,Conditions for Consent,part_II,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_7,7,Processing of Special Categories of Personal Data,part_II,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_8,8,Processing which does not require identification,part_II,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_9,9,Processing for Archiving and Research Purposes,part_II,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_10,10,"Transparent information, communication and modalities for the exercise of the rights of the Data Subject",part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_11,11,Information to be provided where Personal Data is collected from the Data Subject,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_12,12,Information to be provided where Personal Data has not been obtained from the Data Subject,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_13,13,Right of access by the Data Subject,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_14,14,Right to rectification,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_15,15,Right to erasure,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_16,16,Right to restriction of Processing,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_17,17,Notification obligation regarding rectification or erasure of Personal Data or restriction of Processing,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_18,18,Right to data portability,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_19,19,Right to object,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_20,20,"Automated individual decision-making, including Profiling",part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_21,21,Restrictions,part_III,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_22,22,Responsibility of the Controller,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_23,23,Data protection by design and by default,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_24,24,Data Protection Fee,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_25,25,Joint Controllers,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_26,26,Processor,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_27,27,Processing under the authority of the Controller or Processor,part_IV,"The Processor and any person acting under the authority of the Controller or of the Processor, who has access to Personal Data, must not Process that data except on instructions from the Controller, unless required to do so by Applicable Law.",KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_28,28,Records of Processing activities,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_29,29,Cooperation with the Commissioner of Data Protection,part_IV,"The Controller and the Processor must cooperate, on request, with the Commissioner of Data Protection in the performance of their duties and functions.",KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_30,30,Security of Processing,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_31,31,Cessation of Processing,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_32,32,Notification of a Personal Data Breach to the Commissioner of Data Protection,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_33,33,Communication of a Personal Data Breach to the Data Subject,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_34,34,Data Protection Impact Assessment,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_35,35,Designation of the Data Protection Officer,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_36,36,Position of the Data Protection Officer,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_37,37,Tasks of the Data Protection Officer,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_38,38,Codes of conduct,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_39,39,Certification,part_IV,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_40,40,General principle for transfers,part_V,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_41,41,Transfers on the basis of an adequacy decision,part_V,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_42,42,Transfers subject to appropriate safeguards,part_V,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_43,43,Binding Corporate Rules,part_V,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_44,44,Derogations for specific situations,part_V,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_45,45,Data sharing with public authorities,part_V,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_46,46,International cooperation for the protection of Personal Data,part_V,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_47,47,Commissioner of Data Protection,part_VI,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_48,48,Independence,part_VI,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_49,49,Functions and obligations of Staff of the Office of Data Protection,part_VI,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_50,50,General Powers,part_VI,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_51,51,Budget,part_VI,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_52,52,Accounts and audit,part_VI,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_53,53,Annual report,part_VI,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_54,54,Directions,part_VII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_55,55,General conditions for imposing administrative fines,part_VII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_56,56,Fixed penalty for non-payment of the Data Protection Fee or Renewal Fee,part_VII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_57,57,Right to lodge a complaint with the Commissioner of Data Protection,part_VII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_58,58,Application to the Court,part_VII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_59,59,Rights against a Controller and/or Processor,part_VII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_60,60,Power of the Board to make rules,part_VIII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_61,61,Previously concluded agreements,part_VIII,"International agreements involving the transfer of Personal Data outside of ADGM or to International Organisations, which were concluded or adopted by ADGM or the United Arab Emirates prior to the commencement of these Regulations and which comply with Applicable Law as applicable prior to the commencement of these Regulations, remain in force until amended, replaced or revoked.",KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_62,62,Definitions,part_VIII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_63,63,Repeal of Data Protection Regulations 2015,part_VIII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
sec_64,64,"Short title, scope and commencement",part_VIII,,KB 2/UAE/ADGM Data Protection Regulations.pdf
