source_id,target_id,rel_type,ordinal
1.4,1.4(a),HAS_SUBITEM,1
1.4,1.4(b),HAS_SUBITEM,2
3.1.7,3.1.7-1,HAS_SUBITEM,1
3.1.7,3.1.7-2,HAS_SUBITEM,2
3.1.7,3.1.7-3,HAS_SUBITEM,3
3.1.7,3.1.7-4,HAS_SUBITEM,4
3.1.7,3.1.7-5,HAS_SUBITEM,5
3.1.7,3.1.7-6,HAS_SUBITEM,6
3.1.7,3.1.7-7,HAS_SUBITEM,7
3.1.8,3.1.8-1,HAS_SUBITEM,1
3.1.8,3.1.8-2,HAS_SUBITEM,2
3.1.8,3.1.8-3,HAS_SUBITEM,3
3.1.8,3.1.8-4,HAS_SUBITEM,4
3.1.8,3.1.8-5,HAS_SUBITEM,5
3.3.1,3.3.1-1,HAS_SUBITEM,1
3.3.1,3.3.1-2,HAS_SUBITEM,2
3.3.1,3.3.1-3,HAS_SUBITEM,3
3.3.1,3.3.1-4,HAS_SUBITEM,4
4.1.4,4.1.4-1,HAS_SUBITEM,1
4.1.4,4.1.4-2,HAS_SUBITEM,2
4.1.4,4.1.4-3,HAS_SUBITEM,3
4.1.4,4.1.4-4,HAS_SUBITEM,4
7.7.3,7.7.3-1,HAS_SUBITEM,1
7.7.3,7.7.3-2,HAS_SUBITEM,2
7.7.3,7.7.3-3,HAS_SUBITEM,3
8.3.3,8.3.3-1,HAS_SUBITEM,1
8.3.3,8.3.3-2,HAS_SUBITEM,2
8.5.2,8.5.2-1,HAS_SUBITEM,1
8.5.2,8.5.2-2,HAS_SUBITEM,2
8.5.2,8.5.2-3,HAS_SUBITEM,3
8.5.6,8.5.6-1,HAS_SUBITEM,1
8.5.6,8.5.6-2,HAS_SUBITEM,2
8.5.6,8.5.6-3,HAS_SUBITEM,3
8.5.6,8.5.6-4,HAS_SUBITEM,4
8.5.6,8.5.6-5,HAS_SUBITEM,5
8.5.6,8.5.6-6,HAS_SUBITEM,6
11.1.1,11.1.1-1,HAS_SUBITEM,1
11.1.1,11.1.1-2,HAS_SUBITEM,2
11.1.1,11.1.1-3,HAS_SUBITEM,3
11.4.1,11.4.1(VMs),HAS_SUBITEM,1
13.6.1,13.6.1(a),HAS_SUBITEM,1
13.6.1,13.6.1(b),HAS_SUBITEM,2
13.6.1,13.6.1(c),HAS_SUBITEM,3
A.2,A.2-1,HAS_SUBITEM,1
A.2,A.2-2,HAS_SUBITEM,2
A.2,A.2-3,HAS_SUBITEM,3
A.2,A.2-4,HAS_SUBITEM,4
B.1,B.1-1,HAS_SUBITEM,1
B.1,B.1-2,HAS_SUBITEM,2
C.1,C.1-1,HAS_SUBITEM,1
C.1,C.1-2,HAS_SUBITEM,2
C.1,C.1-3,HAS_SUBITEM,3
C.1,C.1-4,HAS_SUBITEM,4
C.1,C.1-5,HAS_SUBITEM,5
C.1,C.1-6,HAS_SUBITEM,6
C.1,C.1-7,HAS_SUBITEM,7
