subitem_id,clause_id,label,ordinal,text,source_document
1.4(a),1.4,(a),1,"Establish Sound and Robust Technology Risk Governance and Oversight The board of directors and senior management at an FI play an integral part in the oversight and management of technology risk. The board of directors and senior management should cultivate a strong risk culture, and ensure the establishment of a sound and robust technology risk management framework.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
1.4(b),1.4,(b),2,"Maintain Cyber Resilience Strong cyber resilience is critical for sustaining trust and confidence in financial services. FIs should adopt a defence-in-depth approach to strengthening cyber resilience. It is also important that FIs establish and continuously improve their IT processes and controls to preserve confidentiality, integrity and availability of data and IT systems.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.7-1,3.1.7,,1,ensuring a sound and robust risk management framework is established and maintained to manage technology risks;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.7-2,3.1.7,,2,"ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.7-3,3.1.7,,3,"giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.7-4,3.1.7,,4,approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.7-5,3.1.7,,5,undertaking regular reviews of the technology risk management strategy for continued relevance;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.7-6,3.1.7,,6,assessing management competencies for managing technology risks; and,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.7-7,3.1.7,,7,"ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.8-1,3.1.8,,1,establishing the technology risk management framework and strategy;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
