source_id,target_id,rel_type,ordinal
MAS-TRM-2021,1,HAS_SECTION,1
MAS-TRM-2021,2,HAS_SECTION,2
MAS-TRM-2021,3,HAS_SECTION,3
MAS-TRM-2021,4,HAS_SECTION,4
MAS-TRM-2021,5,HAS_SECTION,5
MAS-TRM-2021,6,HAS_SECTION,6
MAS-TRM-2021,7,HAS_SECTION,7
MAS-TRM-2021,8,HAS_SECTION,8
MAS-TRM-2021,9,HAS_SECTION,9
MAS-TRM-2021,10,HAS_SECTION,10
MAS-TRM-2021,11,HAS_SECTION,11
MAS-TRM-2021,12,HAS_SECTION,12
MAS-TRM-2021,13,HAS_SECTION,13
MAS-TRM-2021,14,HAS_SECTION,14
MAS-TRM-2021,15,HAS_SECTION,15
MAS-TRM-2021,Annex A,HAS_SECTION,16
MAS-TRM-2021,Annex B,HAS_SECTION,17
MAS-TRM-2021,Annex C,HAS_SECTION,18
