section_id,number,title,kind,page,source_document
1,1,Preface,Section,5,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
2,2,Application of the MAS Technology Risk Management Guidelines,Section,6,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3,3,Technology Risk Governance and Oversight,Section,7,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4,4,Technology Risk Management Framework,Section,12,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5,5,IT Project Management and Security-by-Design,Section,15,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
6,6,Software Application Development and Management,Section,19,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7,7,IT Service Management,Section,23,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8,8,IT Resilience,Section,28,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
9,9,Access Control,Section,33,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
10,10,Cryptography,Section,36,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
11,11,Data and Infrastructure Security,Section,38,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
12,12,Cyber Security Operations,Section,43,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
13,13,Cyber Security Assessment,Section,45,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
14,14,Online Financial Services,Section,49,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
15,15,IT Audit,Section,53,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
Annex A,Annex A,Application Security Testing,Annex,54,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
Annex B,Annex B,BYOD Security,Annex,55,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
Annex C,Annex C,Mobile Application Security,Annex,56,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
