footnote_id,number,page,text,source_document
FN1,1,7,"“chief information officer”, “chief technology officer”, or “head of information technology”, who is principally responsible for establishing and implementing the overall information technology strategy, overseeing the day-to-day information technology operations, and managing the information technology risks of the financial institution. “chief information security officer” or “head of information security”, who is principally responsible for the information security strategy and programme of the financial institution, including but not limited to information security policies and procedures to safeguard information assets, information security controls, and the management of information security. - Guidelines on Individual Accountability and Conduct, Annex B","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN2,2,9,"The roles and responsibilities of senior management and staff could be defined and tracked using a Responsibility Assignment Matrix, also known as RACI. The RACI matrix outlines who are responsible and accountable for the functions, as well as who should be consulted or informed.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN3,3,9,"Information assets include data, hardware and software. Information assets are not limited to those that are owned by the FI. They also include those that are entrusted to the FI by customers or third parties, rented or leased by the FI, and those that are used by service providers to deliver their services to the FI. Adapted from CPMI-IOSCO, Guidance on Cyber Resilience for Financial Market Infrastructures, June 2016.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN4,4,10,Data confidentiality refers to the protection of sensitive or confidential data such as customer details from unauthorised access and disclosure.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN5,5,16,"The overall process of developing/acquiring and managing systems from initiation/planning, requirements gathering, design, implementation, testing, deployment and maintenance to disposal.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN6,6,16,"Within the SDLC framework, it includes models or methodologies such as Waterfall and Agile.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN7,7,17,"System testing includes unit, modular, integration, system and user acceptance testing.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN8,8,19,"Source code review is a systematic and methodical examination of the source code of an application, with the objective of finding coding errors, poor coding practices or other software defects.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN9,9,20,"APIs are sets of protocols that define how one application interacts with another, usually to facilitate an information exchange.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN10,10,21,An access token contains credentials that are used to validate the requestor and ensure the requestor has the permissions to access the requested data or perform the requested operations.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN11,11,25,"Source codes, byte codes and binaries","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN12,12,26,"Examples of cyber incidents include malware infection, social engineering, man-in-the-middle attack, denial of service attack, etc.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN13,13,28,"The monitoring of system resources could cover the utilisation of the computing processor, memory and data storage. For network resources, the monitoring indicators could cover network throughput, latency and packet loss.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN14,14,30,"Examples: flooding, fire, natural disasters, acts of terrorism, electricity surge, electromagnetic and electrical interference, etc.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN15,15,33,"Certain system functions and procedures are of sensitive and critical nature, and are carried out by more than one person at the same time or performed by one person and checked by another.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN16,16,33,"Segregation of duties is to ensure that responsibilities and duties for IT functions, such as operating system function, system design and development, application maintenance programming, access control administration, data security, and backup are separated and performed by different groups of employees.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN17,17,33,"Access rights and system privileges are granted based on job responsibility and the necessity to have them to fulfil one's duties. No person by virtue of rank or position is given any intrinsic right to access confidential data, applications, system resources or facilities. Only personnel with proper authorisation are granted access to and use of information assets.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN18,18,33,"The sensitivity of a system function may be assessed based on the confidentiality of the data and criticality of the system. This could include system functions that are of a sensitive nature, such as system initialisation, PIN generation, creation of cryptographic keys and the use of administrative accounts.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN19,19,33,"User access refers to access by all users, including end or business user accounts as well as administrative accounts.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN20,20,34,"Strong password controls should include a change of password upon first logon, minimum password length and history and password complexity.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN21,21,34,"Multi-factor authentication refers to the use of two or more factors to verify a user’s claimed identity. Such factors include, but are not limited to: (a) something that the user knows such as a password or a PIN number; (b) something that the user has such as a cryptographic identification device or token; and (c) something that the user is such as his biometrics or behaviour.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
