source_id,source_type,relationship,target_id,target_type
step_1,Step,HAS_TASK,P-1,Task
step_1,Step,HAS_TASK,P-2,Task
step_1,Step,HAS_TASK,P-3,Task
step_1,Step,HAS_TASK,P-4,Task
step_1,Step,HAS_TASK,P-5,Task
step_1,Step,HAS_TASK,P-6,Task
step_1,Step,HAS_TASK,P-7,Task
step_1,Step,HAS_TASK,P-8,Task
step_1,Step,HAS_TASK,P-9,Task
step_1,Step,HAS_TASK,P-10,Task
step_1,Step,HAS_TASK,P-11,Task
step_1,Step,HAS_TASK,P-12,Task
step_1,Step,HAS_TASK,P-13,Task
step_1,Step,HAS_TASK,P-14,Task
step_1,Step,HAS_TASK,P-15,Task
step_1,Step,HAS_TASK,P-16,Task
step_1,Step,HAS_TASK,P-17,Task
step_1,Step,HAS_TASK,P-18,Task
step_2,Step,HAS_TASK,C-1,Task
step_2,Step,HAS_TASK,C-2,Task
step_2,Step,HAS_TASK,C-3,Task
step_3,Step,HAS_TASK,S-1,Task
step_3,Step,HAS_TASK,S-2,Task
step_3,Step,HAS_TASK,S-3,Task
step_3,Step,HAS_TASK,S-4,Task
step_3,Step,HAS_TASK,S-5,Task
step_3,Step,HAS_TASK,S-6,Task
step_4,Step,HAS_TASK,I-1,Task
step_4,Step,HAS_TASK,I-2,Task
step_5,Step,HAS_TASK,A-1,Task
step_5,Step,HAS_TASK,A-2,Task
step_5,Step,HAS_TASK,A-3,Task
step_5,Step,HAS_TASK,A-4,Task
step_5,Step,HAS_TASK,A-5,Task
step_5,Step,HAS_TASK,A-6,Task
step_6,Step,HAS_TASK,R-1,Task
step_6,Step,HAS_TASK,R-2,Task
step_6,Step,HAS_TASK,R-3,Task
step_6,Step,HAS_TASK,R-4,Task
step_6,Step,HAS_TASK,R-5,Task
step_7,Step,HAS_TASK,M-1,Task
step_7,Step,HAS_TASK,M-2,Task
step_7,Step,HAS_TASK,M-3,Task
step_7,Step,HAS_TASK,M-4,Task
step_7,Step,HAS_TASK,M-5,Task
step_7,Step,HAS_TASK,M-6,Task
step_7,Step,HAS_TASK,M-7,Task
AC-1,Control,BELONGS_TO,AC,ControlFamily
AT-1,Control,BELONGS_TO,AT,ControlFamily
AU-1,Control,BELONGS_TO,AU,ControlFamily
CA-1,Control,BELONGS_TO,CA,ControlFamily
CM-1,Control,BELONGS_TO,CM,ControlFamily
CP-1,Control,BELONGS_TO,CP,ControlFamily
IA-1,Control,BELONGS_TO,IA,ControlFamily
IR-1,Control,BELONGS_TO,IR,ControlFamily
MA-1,Control,BELONGS_TO,MA,ControlFamily
MP-1,Control,BELONGS_TO,MP,ControlFamily
PE-1,Control,BELONGS_TO,PE,ControlFamily
PL-1,Control,BELONGS_TO,PL,ControlFamily
PM-1,Control,BELONGS_TO,PM,ControlFamily
PS-1,Control,BELONGS_TO,PS,ControlFamily
PT-1,Control,BELONGS_TO,PT,ControlFamily
RA-1,Control,BELONGS_TO,RA,ControlFamily
SA-1,Control,BELONGS_TO,SA,ControlFamily
SC-1,Control,BELONGS_TO,SC,ControlFamily
SI-1,Control,BELONGS_TO,SI,ControlFamily
SR-1,Control,BELONGS_TO,SR,ControlFamily
