source_id,target_id,rel_type,criterion_type
OIS-01,OIS-01.01B,HAS_SUBCRITERION,basic
OIS-01,OIS-01.02B,HAS_SUBCRITERION,basic
OIS-01,OIS-01.03B,HAS_SUBCRITERION,basic
OIS-01,OIS-01.01AS,HAS_SUBCRITERION,additional_sharpening
OIS-01,OIS-01.01AC,HAS_SUBCRITERION,additional_complementing
OIS-02,OIS-02.01B,HAS_SUBCRITERION,basic
OIS-02,OIS-02.02B,HAS_SUBCRITERION,basic
OIS-02,OIS-02.03B,HAS_SUBCRITERION,basic
OIS-03,OIS-03.01B,HAS_SUBCRITERION,basic
OIS-03,OIS-03.02B,HAS_SUBCRITERION,basic
OIS-03,OIS-03.03B,HAS_SUBCRITERION,basic
OIS-03,OIS-03.04B,HAS_SUBCRITERION,basic
OIS-03,OIS-03.05B,HAS_SUBCRITERION,basic
OIS-04,OIS-04.01B,HAS_SUBCRITERION,basic
OIS-04,OIS-04.02B,HAS_SUBCRITERION,basic
OIS-04,OIS-04.03B,HAS_SUBCRITERION,basic
OIS-04,OIS-04.04B,HAS_SUBCRITERION,basic
OIS-04,OIS-04.01AC,HAS_SUBCRITERION,additional_complementing
OIS-04,OIS-04.02AC,HAS_SUBCRITERION,additional_complementing
OIS-05,OIS-05.01B,HAS_SUBCRITERION,basic
OIS-05,OIS-05.02B,HAS_SUBCRITERION,basic
OIS-05,OIS-05.03B,HAS_SUBCRITERION,basic
OIS-06,OIS-06.01B,HAS_SUBCRITERION,basic
OIS-07,OIS-07.01B,HAS_SUBCRITERION,basic
OIS-08,OIS-08.01B,HAS_SUBCRITERION,basic
OIS-08,OIS-08.02B,HAS_SUBCRITERION,basic
OIS-08,OIS-08.03B,HAS_SUBCRITERION,basic
OIS-08,OIS-08.04B,HAS_SUBCRITERION,basic
OIS-08,OIS-08.05B,HAS_SUBCRITERION,basic
OIS-08,OIS-08.06B,HAS_SUBCRITERION,basic
OIS-08,OIS-08.01AS,HAS_SUBCRITERION,additional_sharpening
OIS-08,OIS-08.01AC,HAS_SUBCRITERION,additional_complementing
OIS-08,OIS-08.02AC,HAS_SUBCRITERION,additional_complementing
OIS-09,OIS-09.01B,HAS_SUBCRITERION,basic
OIS-09,OIS-09.02B,HAS_SUBCRITERION,basic
OIS-09,OIS-09.03B,HAS_SUBCRITERION,basic
OIS-09,OIS-09.04B,HAS_SUBCRITERION,basic
OIS-09,OIS-09.05B,HAS_SUBCRITERION,basic
OIS-09,OIS-09.06B,HAS_SUBCRITERION,basic
OIS-09,OIS-09.07B,HAS_SUBCRITERION,basic
OIS-10,OIS-10.01B,HAS_SUBCRITERION,basic
SP-01,SP-01.01B,HAS_SUBCRITERION,basic
SP-01,SP-01.02B,HAS_SUBCRITERION,basic
SP-01,SP-01.03B,HAS_SUBCRITERION,basic
SP-01,SP-01.04B,HAS_SUBCRITERION,basic
SP-02,SP-02.01B,HAS_SUBCRITERION,basic
SP-02,SP-02.02B,HAS_SUBCRITERION,basic
SP-03,SP-03.01B,HAS_SUBCRITERION,basic
SP-03,SP-03.02B,HAS_SUBCRITERION,basic
SP-03,SP-03.03B,HAS_SUBCRITERION,basic
SP-03,SP-03.04B,HAS_SUBCRITERION,basic
SP-03,SP-03.05B,HAS_SUBCRITERION,basic
SP-03,SP-03.01AC,HAS_SUBCRITERION,additional_complementing
SP-03,SP-03.02AC,HAS_SUBCRITERION,additional_complementing
SP-03,SP-03.03AC,HAS_SUBCRITERION,additional_complementing
HR-01,HR-01.01B,HAS_SUBCRITERION,basic
HR-01,HR-01.02B,HAS_SUBCRITERION,basic
HR-01,HR-01.03B,HAS_SUBCRITERION,basic
HR-01,HR-01.04B,HAS_SUBCRITERION,basic
HR-01,HR-01.05B,HAS_SUBCRITERION,basic
HR-01,HR-01.06B,HAS_SUBCRITERION,basic
HR-01,HR-01.01AC,HAS_SUBCRITERION,additional_complementing
HR-02,HR-02.01B,HAS_SUBCRITERION,basic
HR-02,HR-02.02B,HAS_SUBCRITERION,basic
HR-02,HR-02.03B,HAS_SUBCRITERION,basic
HR-02,HR-02.04B,HAS_SUBCRITERION,basic
HR-02,HR-02.05B,HAS_SUBCRITERION,basic
HR-03,HR-03.01B,HAS_SUBCRITERION,basic
HR-03,HR-03.02B,HAS_SUBCRITERION,basic
HR-03,HR-03.03B,HAS_SUBCRITERION,basic
HR-03,HR-03.04B,HAS_SUBCRITERION,basic
HR-03,HR-03.02AS,HAS_SUBCRITERION,additional_sharpening
HR-03,HR-03.01AC,HAS_SUBCRITERION,additional_complementing
HR-03,HR-03.02AC,HAS_SUBCRITERION,additional_complementing
HR-03,HR-03.03AC,HAS_SUBCRITERION,additional_complementing
HR-03,HR-03.04AC,HAS_SUBCRITERION,additional_complementing
HR-03,HR-03.05AC,HAS_SUBCRITERION,additional_complementing
HR-04,HR-04.01B,HAS_SUBCRITERION,basic
HR-04,HR-04.02B,HAS_SUBCRITERION,basic
HR-04,HR-04.03B,HAS_SUBCRITERION,basic
HR-04,HR-04.04B,HAS_SUBCRITERION,basic
HR-05,HR-05.01B,HAS_SUBCRITERION,basic
HR-06,HR-06.01B,HAS_SUBCRITERION,basic
HR-06,HR-06.02B,HAS_SUBCRITERION,basic
HR-06,HR-06.03B,HAS_SUBCRITERION,basic
HR-06,HR-06.04B,HAS_SUBCRITERION,basic
HR-06,HR-06.05B,HAS_SUBCRITERION,basic
HR-06,HR-06.06B,HAS_SUBCRITERION,basic
HR-07,HR-07.01B,HAS_SUBCRITERION,basic
HR-08,HR-08.01B,HAS_SUBCRITERION,basic
AM-01,AM-01.01B,HAS_SUBCRITERION,basic
AM-01,AM-01.01AC,HAS_SUBCRITERION,additional_complementing
AM-01,AM-01.02AC,HAS_SUBCRITERION,additional_complementing
AM-02,AM-02.01B,HAS_SUBCRITERION,basic
AM-02,AM-02.02B,HAS_SUBCRITERION,basic
AM-02,AM-02.03B,HAS_SUBCRITERION,basic
AM-02,AM-02.04B,HAS_SUBCRITERION,basic
AM-02,AM-02.05B,HAS_SUBCRITERION,basic
AM-03,AM-03.01B,HAS_SUBCRITERION,basic
AM-04,AM-04.01B,HAS_SUBCRITERION,basic
AM-04,AM-04.01AC,HAS_SUBCRITERION,additional_complementing
AM-05,AM-05.01B,HAS_SUBCRITERION,basic
AM-05,AM-05.02B,HAS_SUBCRITERION,basic
AM-06,AM-06.01B,HAS_SUBCRITERION,basic
AM-06,AM-06.02B,HAS_SUBCRITERION,basic
AM-07,AM-07.01B,HAS_SUBCRITERION,basic
AM-07,AM-07.02B,HAS_SUBCRITERION,basic
AM-07,AM-07.01AS,HAS_SUBCRITERION,additional_sharpening
AM-07,AM-07.01AC,HAS_SUBCRITERION,additional_complementing
AM-08,AM-08.01B,HAS_SUBCRITERION,basic
AM-08,AM-08.02B,HAS_SUBCRITERION,basic
AM-08,AM-08.03B,HAS_SUBCRITERION,basic
AM-09,AM-09.01B,HAS_SUBCRITERION,basic
AM-09,AM-09.02B,HAS_SUBCRITERION,basic
AM-09,AM-09.03B,HAS_SUBCRITERION,basic
AM-09,AM-09.04B,HAS_SUBCRITERION,basic
AM-09,AM-09.01AC,HAS_SUBCRITERION,additional_complementing
AM-09,AM-09.02AC,HAS_SUBCRITERION,additional_complementing
AM-09,AM-09.03AC,HAS_SUBCRITERION,additional_complementing
AM-09,AM-09.04AC,HAS_SUBCRITERION,additional_complementing
AM-10,AM-10.01B,HAS_SUBCRITERION,basic
AM-10,AM-10.01AS,HAS_SUBCRITERION,additional_sharpening
AM-11,AM-11.01B,HAS_SUBCRITERION,basic
AM-11,AM-11.02B,HAS_SUBCRITERION,basic
AM-11,AM-11.03B,HAS_SUBCRITERION,basic
AM-12,AM-12.01B,HAS_SUBCRITERION,basic
AM-12,AM-12.01AC,HAS_SUBCRITERION,additional_complementing
PS-01,PS-01.01B,HAS_SUBCRITERION,basic
PS-01,PS-01.02B,HAS_SUBCRITERION,basic
PS-01,PS-01.03B,HAS_SUBCRITERION,basic
PS-01,PS-01.04B,HAS_SUBCRITERION,basic
PS-01,PS-01.05B,HAS_SUBCRITERION,basic
PS-01,PS-01.06B,HAS_SUBCRITERION,basic
PS-01,PS-01.01AC,HAS_SUBCRITERION,additional_complementing
PS-01,PS-01.02AC,HAS_SUBCRITERION,additional_complementing
PS-01,PS-01.03AC,HAS_SUBCRITERION,additional_complementing
PS-01,PS-01.04AC,HAS_SUBCRITERION,additional_complementing
PS-01,PS-01.05AC,HAS_SUBCRITERION,additional_complementing
PS-02,PS-02.01B,HAS_SUBCRITERION,basic
PS-02,PS-02.02B,HAS_SUBCRITERION,basic
PS-02,PS-02.03B,HAS_SUBCRITERION,basic
PS-02,PS-02.01AS,HAS_SUBCRITERION,additional_sharpening
PS-02,PS-02.02AS,HAS_SUBCRITERION,additional_sharpening
PS-03,PS-03.01B,HAS_SUBCRITERION,basic
PS-03,PS-03.02B,HAS_SUBCRITERION,basic
PS-03,PS-03.03B,HAS_SUBCRITERION,basic
PS-03,PS-03.04B,HAS_SUBCRITERION,basic
PS-03,PS-03.05B,HAS_SUBCRITERION,basic
PS-03,PS-03.06B,HAS_SUBCRITERION,basic
PS-03,PS-03.01AC,HAS_SUBCRITERION,additional_complementing
PS-04,PS-04.01B,HAS_SUBCRITERION,basic
PS-04,PS-04.02B,HAS_SUBCRITERION,basic
PS-04,PS-04.03B,HAS_SUBCRITERION,basic
PS-05,PS-05.01B,HAS_SUBCRITERION,basic
PS-05,PS-05.02B,HAS_SUBCRITERION,basic
PS-05,PS-05.03B,HAS_SUBCRITERION,basic
PS-05,PS-05.04B,HAS_SUBCRITERION,basic
PS-06,PS-06.01B,HAS_SUBCRITERION,basic
PS-06,PS-06.02B,HAS_SUBCRITERION,basic
PS-06,PS-06.03B,HAS_SUBCRITERION,basic
PS-06,PS-06.01AC,HAS_SUBCRITERION,additional_complementing
PS-06,PS-06.02AC,HAS_SUBCRITERION,additional_complementing
PS-06,PS-06.03AC,HAS_SUBCRITERION,additional_complementing
PS-06,PS-06.04AC,HAS_SUBCRITERION,additional_complementing
PS-07,PS-07.01B,HAS_SUBCRITERION,basic
PS-07,PS-07.02B,HAS_SUBCRITERION,basic
PS-08,PS-08.01B,HAS_SUBCRITERION,basic
OPS-01,OPS-01.01B,HAS_SUBCRITERION,basic
OPS-01,OPS-01.02B,HAS_SUBCRITERION,basic
OPS-01,OPS-01.03B,HAS_SUBCRITERION,basic
OPS-01,OPS-01.01AC,HAS_SUBCRITERION,additional_complementing
OPS-02,OPS-02.01B,HAS_SUBCRITERION,basic
OPS-02,OPS-02.02B,HAS_SUBCRITERION,basic
OPS-02,OPS-02.01AC,HAS_SUBCRITERION,additional_complementing
OPS-03,OPS-03.01B,HAS_SUBCRITERION,basic
OPS-03,OPS-03.02B,HAS_SUBCRITERION,basic
OPS-04,OPS-04.01B,HAS_SUBCRITERION,basic
OPS-05,OPS-05.01B,HAS_SUBCRITERION,basic
OPS-05,OPS-05.02B,HAS_SUBCRITERION,basic
OPS-05,OPS-05.03B,HAS_SUBCRITERION,basic
OPS-05,OPS-05.02AS,HAS_SUBCRITERION,additional_sharpening
OPS-05,OPS-05.01AC,HAS_SUBCRITERION,additional_complementing
OPS-05,OPS-05.02AC,HAS_SUBCRITERION,additional_complementing
OPS-05,OPS-05.03AC,HAS_SUBCRITERION,additional_complementing
OPS-06,OPS-06.01B,HAS_SUBCRITERION,basic
OPS-06,OPS-06.01AS,HAS_SUBCRITERION,additional_sharpening
OPS-07,OPS-07.01B,HAS_SUBCRITERION,basic
OPS-07,OPS-07.02B,HAS_SUBCRITERION,basic
OPS-07,OPS-07.01AC,HAS_SUBCRITERION,additional_complementing
OPS-08,OPS-08.01B,HAS_SUBCRITERION,basic
OPS-08,OPS-08.02B,HAS_SUBCRITERION,basic
OPS-08,OPS-08.03B,HAS_SUBCRITERION,basic
OPS-08,OPS-08.04B,HAS_SUBCRITERION,basic
OPS-08,OPS-08.05B,HAS_SUBCRITERION,basic
OPS-08,OPS-08.01AC,HAS_SUBCRITERION,additional_complementing
OPS-08,OPS-08.02AC,HAS_SUBCRITERION,additional_complementing
OPS-09,OPS-09.01B,HAS_SUBCRITERION,basic
OPS-09,OPS-09.02B,HAS_SUBCRITERION,basic
OPS-09,OPS-09.03B,HAS_SUBCRITERION,basic
OPS-09,OPS-09.04B,HAS_SUBCRITERION,basic
OPS-09,OPS-09.05B,HAS_SUBCRITERION,basic
OPS-10,OPS-10.01B,HAS_SUBCRITERION,basic
OPS-11,OPS-11.01B,HAS_SUBCRITERION,basic
OPS-11,OPS-11.02B,HAS_SUBCRITERION,basic
OPS-11,OPS-11.01AC,HAS_SUBCRITERION,additional_complementing
OPS-11,OPS-11.02AC,HAS_SUBCRITERION,additional_complementing
