general_condition_clause_id,general_condition_id,number,text,source_document
GC-01.C01,GC-01,1,Its applicable law;,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-01.C02,GC-01,2,Its jurisdiction (courts that will hear disputes);,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-01.C03,GC-01,3,The country in which the cloud service provider’s entity or entities that prepared the description is/are registered as a legal entity;,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-01.C04,GC-01,4,The country in which the cloud service provider’s headquarters (ultimate parent) is registered as a legal entity;,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-01.C05,GC-01,5,"The partitions, regions, zones and locations that are provided to cloud service customers for the operation of the cloud service, where the cloud service customer data, cloud service derived data and account data is processed, stored and backed up, based on service offering type (SaaS, PaaS, IaaS); and","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-01.C06,GC-01,6,"If certain of these partitions, regions, zones and locations are not in scope of the assurance engagement, an indication for their exclusion. The information is prepared to meet the common needs of a broad range of subject matter experts of the cloud service customers who define or implement information security requirements, validate their effectiveness or assess the suitability of the cloud service from a legal and regulatory perspective (e.g. IT, compliance, internal audit).","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-02.C01,GC-02,1,Availability of the cloud service;,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-02.C02,GC-02,2,Categorisation and prioritisation of incidents;,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-02.C03,GC-02,3,Response times for disruptions of regular operation according to the categorisation (time elapsed between the reporting of the disruption and the first response by the cloud service provider);,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-02.C04,GC-02,4,Recovery time (time elapsed until the incident has been resolved); and,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-02.C05,GC-02,5,"Contractual consequences of non-compliance. The information is based on definitions that allow subject matter experts of the cloud service customers to assess the cloud service against their business requirements. Contractual agreements may refer to operational documentation (e.g. service documentation, technical specifications, or other publicly accessible resources) that can be regularly updated. The description of the cloud service provider’s system of internal control relevant to the development and operation of the cloud service indicates where this information can be found. References relate precisely to the individual aspects specified above, allowing readers who are not familiar with the contractual agreement or the operational documentation to find the information in a timely manner. If information on availability and remediation of disruptions represent average values that are not binding in individual cases, this is highlighted separately.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-03.C01,GC-03,1,Maximum tolerable period of downtime (MTPD) and Recovery Time Objective (RTO);,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-03.C02,GC-03,2,Maximum allowable data loss / Recovery Point Objective (RPO);,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-03.C03,GC-03,3,Recovery time to start emergency operation;,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-03.C04,GC-03,4,Minimum business continuity objective (MBCO) (capacity related to regular operation); and,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-03.C05,GC-03,5,"Restore time until normal operation. The information enables cloud service customers to evaluate the cloud service as part of their own business impact analysis. The description of the cloud service provider’s system of internal control relevant to the development and operation of the cloud service indicates where this information can be found. References relate precisely to the individual aspects specified above, allowing these subject matter experts to find the information in a timely manner.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-05.C01,GC-05,1,Procedures to verify the legal basis of such requests;,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
GC-05.C02,GC-05,2,Procedures for informing and involving the affected cloud service customers upon receipt of such requests;,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
