definition_id,term,definition,category,defined_in_section,source_document
DEF-ACCOUNT-DATA,Account data,"Class of data specific to each cloud service customer (cf. below) that is required to administer the cloud service (cf. below). Account data (e.g. payment information, contact information, etc.) is typically generated when a cloud service is purchased and is under the control of the cloud service provider (cf. below).",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-ASSETS,Assets,"In this criteria catalogue, this term is used synonymously with the term ‘system components’ (cf. below).",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-AUTHENTICITY,Authenticity,Feature of information in which changes can be uniquely assigned to an originator.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-AVAILABILITY,Availability,"The property that information, services, and functions of an IT system, IT applications or IT networks are accessible and usable on demand by an authorised entity.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-COMPUTING,Cloud computing,"Paradigm for enabling network access to a scalable and elastic pool of shared physical or virtual resources with self-service provisioning and administration on-demand. Examples of resources include servers, operating systems, networks, software, applications, and storage equipment. Self-service provisioning refers to the provisioning of resources provided to cloud services performed by cloud service customers through automated means.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-SERVICE,Cloud service,"Information technology service offered via cloud computing. This includes infrastructure (e.g. computing power, storage space), platforms and software.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-SERVICE-BROKER,Cloud service broker,"A cloud service broker is a natural or legal person, or a group of either (whether or not incorporated), that performs a set of specified tasks supporting or auxiliary to the cloud service provider, one or more cloud service customer, or both — with the specific function of negotiating relationships between cloud service customers and cloud service providers.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-SERVICE-CUSTOMER,Cloud service customer,Natural or legal person who has a business relationship with the cloud service provider for the purpose of using the cloud service.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-SERVICE-CUSTOMER-DATA,Cloud service customer data,"Class of data objects under the control, by legal or other reasons, of the cloud service customer that were input to the cloud service (including credentials to control access to information or other resources), or resulted from using the functionalities of the cloud service by or on behalf of the cloud service customer via the published interface of the cloud service.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-SERVICE-DERIVED-DATA,Cloud service derived data,"Class of data objects under cloud service provider control that are derived as a result of interaction with the cloud service by the cloud service customer. Cloud service derived data includes the portion of log data containing records of who used the service, at what times, which functions, types of data involved and so on. It can also include information about the numbers of authorised users and their identities. It can also include any configuration or customisation data, where the cloud service has such configuration and customisation functionalities.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-SERVICE-PROVIDER,Cloud service provider,Natural or legal person providing a cloud service.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-SERVICE-PROVIDER-DATA,Cloud service provider data,"Class of data objects, specific to the operation of the cloud service, under the control of the cloud service provider. Cloud service provider data includes but is not limited to configuration and utilisation information of system components, storage and network resource allocations, physical and virtual resource failure rates, operational costs and so on.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLOUD-SERVICE-USER,Cloud service user,"Natural person, or entity acting on their behalf, associated with a cloud service customer that uses cloud services.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
