externalinstrument_id,title,reference,cited_in,source_document
EXT-CONSTITUTION,the Constitution,,preamble,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
EXT-DL-34-2006,Telecommunications law promulgated by Decree-Law No. (34) of 2006,Decree-Law No. (34) of 2006,preamble,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
EXT-DL-16-2010,Electronic Transactions and Commerce law promulgated by Decree-Law No. (16) of 2010,Decree-Law No. (16) of 2010,preamble,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
EXT-L-2-2011,"Law No. (2) of 2011 on Official Statistics, as amended by law No. (4) of 2015",Law No. (2) of 2011,preamble; Article (2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
EXT-L-14-2014,Cybercrimes Combatting law promulgated by Law No. (14) of 2014,Law No. (14) of 2014,preamble,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
EXT-ER-42-2014,Emiri Resolution No. (42) of 2014 on the Establishment of the Communications Regulatory Authority,Emiri Resolution No. (42) of 2014,preamble,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
EXT-ER-8-2016,Emiri resolution No. (8) of 2016 on the Organizational Structure of the Ministry of Transport and Communications,Emiri resolution No. (8) of 2016,preamble,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
