source_id,target_id,rel_type,clause_number
ART-2,ART-2-P1,HAS_CLAUSE,paragraph 1
ART-2,ART-2-P2,HAS_CLAUSE,paragraph 2
ART-5,ART-5-1,HAS_CLAUSE,1
ART-5,ART-5-2,HAS_CLAUSE,2
ART-5,ART-5-3,HAS_CLAUSE,3
ART-5,ART-5-4,HAS_CLAUSE,4
ART-6,ART-6-1,HAS_CLAUSE,1
ART-6,ART-6-2,HAS_CLAUSE,2
ART-6,ART-6-3,HAS_CLAUSE,3
ART-8,ART-8-1,HAS_CLAUSE,1
ART-8,ART-8-2,HAS_CLAUSE,2
ART-8,ART-8-3,HAS_CLAUSE,3
ART-8,ART-8-4,HAS_CLAUSE,4
ART-9,ART-9-1,HAS_CLAUSE,1
ART-9,ART-9-2,HAS_CLAUSE,2
ART-9,ART-9-3,HAS_CLAUSE,3
ART-9,ART-9-4,HAS_CLAUSE,4
ART-11,ART-11-1,HAS_CLAUSE,1
ART-11,ART-11-2,HAS_CLAUSE,2
ART-11,ART-11-3,HAS_CLAUSE,3
ART-11,ART-11-4,HAS_CLAUSE,4
ART-11,ART-11-5,HAS_CLAUSE,5
ART-11,ART-11-6,HAS_CLAUSE,6
ART-11,ART-11-7,HAS_CLAUSE,7
ART-11,ART-11-8,HAS_CLAUSE,8
ART-13,ART-13-P1,HAS_CLAUSE,paragraph 1
ART-13,ART-13-P2,HAS_CLAUSE,paragraph 2
ART-13,ART-13-P3,HAS_CLAUSE,paragraph 3
ART-16,ART-16-P1,HAS_CLAUSE,paragraph 1
ART-16,ART-16-P2,HAS_CLAUSE,paragraph 2
ART-16,ART-16-P3,HAS_CLAUSE,paragraph 3
ART-16,ART-16-P4,HAS_CLAUSE,paragraph 4
ART-17,ART-17-1,HAS_CLAUSE,1
ART-17,ART-17-2,HAS_CLAUSE,2
ART-17,ART-17-3,HAS_CLAUSE,3
ART-17,ART-17-4,HAS_CLAUSE,4
ART-17,ART-17-5,HAS_CLAUSE,5
ART-18,ART-18-1,HAS_CLAUSE,1
ART-18,ART-18-2,HAS_CLAUSE,2
ART-18,ART-18-3,HAS_CLAUSE,3
ART-18,ART-18-4,HAS_CLAUSE,4
ART-18,ART-18-P-FINAL,HAS_CLAUSE,final paragraph
ART-19,ART-19-1,HAS_CLAUSE,1
ART-19,ART-19-2,HAS_CLAUSE,2
ART-19,ART-19-3,HAS_CLAUSE,3
ART-19,ART-19-4,HAS_CLAUSE,4
ART-19,ART-19-5,HAS_CLAUSE,5
ART-21,ART-21-1,HAS_CLAUSE,1
ART-21,ART-21-2,HAS_CLAUSE,2
ART-22,ART-22-P1,HAS_CLAUSE,paragraph 1
ART-22,ART-22-P2,HAS_CLAUSE,paragraph 2
ART-22,ART-22-P3,HAS_CLAUSE,paragraph 3
ART-26,ART-26-P1,HAS_CLAUSE,paragraph 1
ART-26,ART-26-P2,HAS_CLAUSE,paragraph 2
ART-26,ART-26-P3,HAS_CLAUSE,paragraph 3
ART-26,ART-26-P4,HAS_CLAUSE,paragraph 4
ART-27,ART-27-1,HAS_CLAUSE,1
ART-27,ART-27-2,HAS_CLAUSE,2
ART-27,ART-27-3,HAS_CLAUSE,3
ART-30,ART-30-P1,HAS_CLAUSE,paragraph 1
ART-30,ART-30-P2,HAS_CLAUSE,paragraph 2
