article_id,label,number,chapter_id,chapter_title,text,subject_actor,source_document
ART-1,Article (1),1,CH-1,Definitions and General Provisions,"For the implementation of the provisions hereof, the following terms and words shall have such meanings assigned to the same, unless otherwise required by context:",,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-2,Article (2),2,CH-1,Definitions and General Provisions,"Provisions hereof shall apply to Personal Data when it is electronically processed, or obtained, gathered or extracted in preparation in any other way for electronic processing, or when processed via a combination of electronic and traditional processing. Provisions hereof shall not apply to Personal Data processed by individuals within a private or a family scope, or to any Personal Data processed for the purpose of obtaining official statistical data as per provisions of the referred to law No (2) of 2011.",,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-3,Article (3),3,CH-2,Rights of Individuals,"Each Individual has the right to the protection of the Personal Data thereof that shall be processed only within the framework of transparency, honesty, and respect of human dignity, and acceptable practices according to provisions hereof.",Individual,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-4,Article (4),4,CH-2,Rights of Individuals,"The Controller shall process Personal Data only after obtaining the consent of the Individual, unless data processing is necessary to achieve a Lawful Purpose for the Controller or the other recipient of such data.",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-5,Article (5),5,CH-2,Rights of Individuals,"An Individual may, at any time:",Individual,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-6,Article (6),6,CH-2,Rights of Individuals,"An Individual may, at any time, access the Personal Data thereof and apply to review the same, in facing any Controller, and an Individual has, in particular, the right to:",Individual,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-7,Article (7),7,CH-2,Rights of Individuals,"The controls and procedures, related to individuals' exercise of rights provided for in the two preceding Articles, shall be specified by a decision of the Minister.",Minister,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-8,Article (8),8,CH-3,Liabilities of Controller and Processor,The Controller shall abide by the following:,Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-9,Article (9),9,CH-3,Liabilities of Controller and Processor,"The Controller shall, prior to starting processing any Personal Data, inform the Individual with the following:",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-10,Article (10),10,CH-3,Liabilities of Controller and Processor,"The Controller shall verify that Personal Data that he collects, or being collected for the benefit thereof, is relevant to Lawful Purposes and adequate for achieving the same. The Controller shall, also, ensure such data is accurate, complete and up to date to meet such Lawful Purposes. In addition, the Controller shall not keep any Personal Data for a period of time that exceeds the necessary period for achieving such purposes.",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-11,Article (11),11,CH-3,Liabilities of Controller and Processor,The Controller shall take the following procedures:,Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
