clause_id,article_id,article_number,clause_number,clause_type,text,modal,citation,source_document
ART-13-P3,ART-13,13,paragraph 3,paragraph,"The Processor shall forthwith notify the Controller of the existence of any breach of the precautions referred to, or where any risk arises threatening Personal Data in any way.",shall,Article (13)(paragraph 3),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-16-P1,ART-16,16,paragraph 1,paragraph,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",shall,Article (16)(paragraph 1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-16-P2,ART-16,16,paragraph 2,paragraph,"The Minister may add other types of Personal Data of a special nature, where the misuse or disclosure of the same may cause serious damage to Individual.",may,Article (16)(paragraph 2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-16-P3,ART-16,16,paragraph 3,paragraph,"Personal Data of a special nature may only be processed after obtaining the permission from the Competent Department, as per the measures and controls determined by a decision issued by the Minister.",may,Article (16)(paragraph 3),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-16-P4,ART-16,16,paragraph 4,paragraph,"The Minister may, upon a decision therefrom, imposing additional precautions with the intent of protecting Personal Data of a special nature.",,Article (16)(paragraph 4),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-17-1,ART-17,17,1,item,"Posting a notification on the website as to what child data is, the way of its use, and the policies followed in the disclosure thereof.",,Article (17)(1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-17-2,ART-17,17,2,item,"Obtaining, either electronically or through any other appropriate means, an explicit consent from the guardian of the child whose Personal Data is processed.",,Article (17)(2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-17-3,ART-17,17,3,item,"Providing a child's guardian, upon the request thereof, and after verifying the identity thereof, with a description of the type of the Personal Data processed, along with stating the purpose of the process together with a copy of the data processed or gathered about the child.",,Article (17)(3),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-17-4,ART-17,17,4,item,"Deleting, removing or suspending processing any Personal Data that has been gathered from or about a child, if such is requested by child's guardian.",,Article (17)(4),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-17-5,ART-17,17,5,item,"A child's participation in a game, promotional award or any other activity shall not be conditional on the child's provision of Personal Data in excess of the necessary for the participation in such activity.",shall not,Article (17)(5),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-18-1,ART-18,18,1,item,Protecting National and public security.,,Article (18)(1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-18-2,ART-18,18,2,item,Protecting international relations of the State.,,Article (18)(2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-18-3,ART-18,18,3,item,Protecting the economic or financial interests of the State.,,Article (18)(3),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-18-4,ART-18,18,4,item,"Preventing any criminal offense, or gathering information thereon or investigating therein.",,Article (18)(4),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-18-P-FINAL,ART-18,18,final paragraph,paragraph,"The Competent Authority shall keep a special record where the data achieving the aforementioned purposes shall be entered. Conditions, controls and statuses of entry on such record shall be specified by virtue of a decision issued by the Minister.",shall,Article (18)(final paragraph),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-19-1,ART-19,19,1,item,Executing a task related to the public interest as per the law.,,Article (19)(1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-19-2,ART-19,19,2,item,Implementing a legal obligation or an order rendered by a competent court.,,Article (19)(2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-19-3,ART-19,19,3,item,Protecting vital interests of Individual.,,Article (19)(3),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-19-4,ART-19,19,4,item,Achieving purposes of scientific research which is underway for public interest.,,Article (19)(4),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-19-5,ART-19,19,5,item,"Gathering necessary information for investigation into a criminal offense, upon an official request of investigative bodies.",,Article (19)(5),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
