source_id,target_id,rel_type,term
ART-1,DEF-MINISTRY,DEFINES,Ministry
ART-1,DEF-MINISTER,DEFINES,Minister
ART-1,DEF-COMPETENT_DEPARTMENT,DEFINES,Competent Department
ART-1,DEF-COMPETENT_AUTHORITY,DEFINES,Competent Authority
ART-1,DEF-INDIVIDUAL,DEFINES,Individual
ART-1,DEF-CONTROLLER,DEFINES,Controller
ART-1,DEF-PROCESSOR,DEFINES,Processor
ART-1,DEF-PERSONAL_DATA,DEFINES,Personal Data
ART-1,DEF-PERSONAL_DATA_PROCESSING,DEFINES,Personal Data Processing
ART-1,DEF-CROSS_BORDER_DATA_FLOWS,DEFINES,Cross-Border Data Flows
ART-1,DEF-LAWFUL_PURPOSE,DEFINES,Lawful Purpose
ART-1,DEF-ACCEPTABLE_PRACTICES,DEFINES,Acceptable Practices
ART-1,DEF-DIRECT_MARKETING,DEFINES,Direct Marketing
ART-1,DEF-WIRE_AND_WIRELESS_COMMUNICATIONS,DEFINES,Wire and Wireless Communications
ART-1,DEF-ELECTRONIC_COMMUNICATION,DEFINES,Electronic Communication
ART-1,DEF-ELECTRONIC_COMMUNICATION_ESTABLISHMENT,DEFINES,Electronic Communication Establishment
ART-1,DEF-WEBSITE_OPERATOR,DEFINES,Website Operator
