chapter_id,label,number,title,article_range,source_document
CH-1,Chapter One,One,Definitions and General Provisions,1-2,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
CH-2,Chapter Two,Two,Rights of Individuals,3-7,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
CH-3,Chapter Three,Three,Liabilities of Controller and Processor,8-15,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
CH-4,Chapter Four,Four,Personal Data with Special Nature,16-17,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
CH-5,Chapter Five,Five,Exemptions,18-21,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
CH-6,Chapter Six,Six,Electronic Communication for the Purpose of Direct Marketing,22,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
CH-7,Chapter Seven,Seven,Penalties,23-25,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
CH-8,Chapter Eight,Eight,Final Provisions,26-32,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
