specialnaturedatacategory_id,category,text,provision_id,source_document
SPC-ETHNIC_ORIGIN,ethnic origin,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",ART-16-P1,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
SPC-CHILDREN,children,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",ART-16-P1,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
SPC-HEALTH,health,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",ART-16-P1,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
SPC-PHYSICAL_OR_PSYCHOLOGICAL_CONDITION,physical or psychological condition,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",ART-16-P1,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
SPC-RELIGIOUS_CREEDS,religious creeds,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",ART-16-P1,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
SPC-MARITAL_RELATIONS,marital relations,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",ART-16-P1,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
SPC-CRIMINAL_OFFENSES,criminal offenses,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",ART-16-P1,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
