right_id,right_name,provision_id,text,source_document
RIGHT-PROTECTION,Right to the protection of the Personal Data thereof,ART-3,"Each Individual has the right to the protection of the Personal Data thereof that shall be processed only within the framework of transparency, honesty, and respect of human dignity, and acceptable practices according to provisions hereof.",KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-WITHDRAW-CONSENT,Withdraw the prior consent thereof for Personal Data Processing,ART-5-1,Withdraw the prior consent thereof for Personal Data Processing.,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-OBJECT,Object to processing the Personal Data thereof,ART-5-2,"Object to processing the Personal Data thereof if such processing is not necessary to achieve the purposes for which such Personal Data have been collected or where such collected Personal Data are beyond the extent required, discriminatory, unfair or illegal.",KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-ERASURE,Request omission or erasure of the Personal Data thereof,ART-5-3,"Request omission or erasure of the Personal Data thereof in any of the cases referred to in the preceding two items , upon cessation of the purpose for which the processing has been conducted, or where all justifications for maintaining such Personal Data by the Controller cease to exist.",KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-CORRECTION,Request corrections to the Personal Data thereof,ART-5-4,Request corrections to the Personal Data thereof. A request so made shall be accompanied with proof of the accuracy of such request.,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-ACCESS,Access the Personal Data thereof and apply to review the same,ART-6,"An Individual may, at any time, access the Personal Data thereof and apply to review the same, in facing any Controller",KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-NOTIFIED-PROCESSING,Be notified of processing the Personal Data thereof,ART-6-1,Be notified of processing the Personal Data thereof and the purposes for which such processing is conducted.,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-NOTIFIED-INACCURATE,Be notified of any disclosure of inaccurate Personal Data,ART-6-2,Be notified of any disclosure of inaccurate Personal Data.,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-COPY,Obtain a copy of the Personal Data thereof,ART-6-3,Obtain a copy of the Personal Data thereof after paying an amount that shall not exceed the service charge.,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
RIGHT-COMPLAINT,File a complaint to the Competent Department,ART-26-P1,An Individual may file a complaint to the Competent Department in case of violating provisions hereof and the issued decisions in the implementation thereof.,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
