penalty_id,article_id,max_amount,currency,amount_text,applies_to,without_prejudice_clause,source_document
PEN-23,ART-23,1000000,QR,"(1, 000,000) one million QR","anyone violating any of the provisions of the Articles (4, 8, 9, 10, 11, 12, 14, 15, and 22) hereof",Without prejudice to any more severe penalty stipulated in any other law,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
PEN-24,ART-24,5000000,QR,"(5, 000, 000) five million QR","anyone violating any of the provisions of the Articles (13), (16\ paragraph 3), and (17) hereof",Without prejudice to any more severe penalty stipulated in any other law,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
PEN-25,ART-25,1000000,QR,"(1,000,000) One million QR","violating legal person, in the event of committing any of those crimes stipulated herein on the name or for the interest thereof",without prejudice to criminal liability taken by affiliated natural person,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
