definition_id,term,definition_text,defined_in_article,citation,source_document
DEF-MINISTRY,Ministry,Ministry of Transport and Communications.,ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-MINISTER,Minister,Minister of Transport and Communication.,ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-COMPETENT_DEPARTMENT,Competent Department,the competent administrative unit at the Ministry.,ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-COMPETENT_AUTHORITY,Competent Authority,"any government entity competent, as per law, to regulate acts or procedures pertinent to Personal Data Processing and supervision of the same.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-INDIVIDUAL,Individual,a natural person whose Personal Data are processed.,ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-CONTROLLER,Controller,"a natural or legal person who, whether acting individually or jointly with others, determines how Personal Data may be processed and determines the purpose(s) of any such processing Personal Data Processing.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-PROCESSOR,Processor,a natural or legal person who processes Personal Data for the Controller.,ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-PERSONAL_DATA,Personal Data,data of an individual whose identity is defined or can be reasonably defined whether through such Personal Data or through the combination of such data with any other data.,ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-PERSONAL_DATA_PROCESSING,Personal Data Processing,"Personal Data Processing through one operation or more such as gathering, receipt, registration, organization, storage, preparation, modification, retrieval, usage, disclosure, publication, transfer, withholding, destruction, erasure and cancellation.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-CROSS_BORDER_DATA_FLOWS,Cross-Border Data Flows,"access, watch, retrieve, use or store Personal Data without restrictions of the State's borders.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-LAWFUL_PURPOSE,Lawful Purpose,"The purpose for which Personal Data of an Individual is processed, in accordance with the law.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-ACCEPTABLE_PRACTICES,Acceptable Practices,processing activities determined or approved by the Competent Department with regard to various types of Lawful Purposes.,ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-DIRECT_MARKETING,Direct Marketing,"sending any advertising or marketing material, in whatsoever means, to certain individuals.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-WIRE_AND_WIRELESS_COMMUNICATIONS,Wire and Wireless Communications,"sending, broadcasting or receiving signals, images, shapes, sound, data, texts or information, of whatsoever kind or nature, via wire, wireless, radio, visual means, other electromagnetic communication means or any other similar communication means.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-ELECTRONIC_COMMUNICATION,Electronic Communication,a communication by means of any of Wire and Wireless Communications.,ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-ELECTRONIC_COMMUNICATION_ESTABLISHMENT,Electronic Communication Establishment,"establish, send or transfer an Electronic Communication or help therewith, or give directions to the Processor to do that.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
DEF-WEBSITE_OPERATOR,Website Operator,"an individual who operates a web site, or offers products or services therethrough and gathers or processes Personal Data of users or visitors of such website.",ART-1,Article (1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
