source_id,target_id,rel_type,period
ART-26-P3,DL-26-3,SETS_DEADLINE,sixty days
ART-26-P4,DL-26-4,SETS_DEADLINE,sixty days
ART-30-P1,DL-30-1,SETS_DEADLINE,six months
