chapter_id,number,title,source_document
ch_1,Chapter 1,"Purpose, Scope of Application and Federal Supervisory Authority",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_2,Chapter 2,General Provisions,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_3,Chapter 3,Duties of the Controller and of the Processor,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_4,Chapter 4,Rights of the Data Subject,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_5,Chapter 5,Special Provisions on Data Processing by Private Persons,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_6,Chapter 6,Special Provisions on Data Processing by Federal Bodies,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_7,Chapter 7,Federal Data Protection and Information Commissioner,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_8,Chapter 8,Criminal Provisions,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_9,Chapter 9,Conclusion of International Treaties,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ch_10,Chapter 10,Final Provisions,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
