article_id,number,label,heading,chapter_id,section_id,source_document
art_47a,47a,Art. 47a,Recusal,ch_7,sec_7_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_48,48,Art. 48,Self-regulation of the FDPIC,ch_7,sec_7_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_49,49,Art. 49,Investigation,ch_7,sec_7_2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_50,50,Art. 50,Powers,ch_7,sec_7_2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_51,51,Art. 51,Administrative measures,ch_7,sec_7_2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_52,52,Art. 52,Procedure,ch_7,sec_7_2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_53,53,Art. 53,Coordination,ch_7,sec_7_2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_54,54,Art. 54,Administrative assistance between Swiss authorities,ch_7,sec_7_3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55,55,Art. 55,Administrative assistance for foreign authorities,ch_7,sec_7_3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_56,56,Art. 56,Register,ch_7,sec_7_4,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_57,57,Art. 57,Information,ch_7,sec_7_4,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_58,58,Art. 58,Further tasks,ch_7,sec_7_4,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_59,59,Art. 59,,ch_7,sec_7_5,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_60,60,Art. 60,"Violation of the duty to provide information, the right to information and the duty to cooperate",ch_8,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_61,61,Art. 61,Violation of duties of care,ch_8,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_62,62,Art. 62,Violation of the professional duty of confidentiality,ch_8,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_63,63,Art. 63,Disregard of decisions,ch_8,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_64,64,Art. 64,Corporate criminal liability,ch_8,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_65,65,Art. 65,Jurisdiction,ch_8,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_66,66,Art. 66,Statute of limitations for prosecution,ch_8,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_67,67,Art. 67,,ch_9,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_68,68,Art. 68,Repeal and amendment of other legislation,ch_10,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_69,69,Art. 69,Transitional provisions relating to ongoing instances of processing,ch_10,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_70,70,Art. 70,Transitional provision relating to ongoing proceedings,ch_10,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_71,71,Art. 71,Transitional provision relating to the data of legal entities,ch_10,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_72,72,Art. 72,Transitional provision relating to the Commissioner's election and termination of office,ch_10,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_72a,72a,Art. 72a,Transitional provision relating to the Commissioner's employment contract,ch_10,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_73,73,Art. 73,Coordination,ch_10,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_74,74,Art. 74,Referendum and commencement,ch_10,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
