deadline_id,value,subject,text,clause_id,citation,source_document
dl_12_5,fewer than 250 employees,Record of processing activities exception threshold,The Federal Council shall provide exceptions for legal entities that have fewer than 250 employees and whose data processing poses a negligible risk of harm to the personality of the data subjects.,art_12_p5,Art. 12 para. 5,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_19_5,one month,Deadline to inform where data are not collected from the data subject,the controller shall also inform the data subject of the information specified in paragraphs 2-4 at the latest one month after receiving the data,art_19_p5,Art. 19 para. 5,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_23_2,"two months, extendable by one month",FDPIC deadline to notify objections after consultation,The FDPIC shall inform the controller within two months of any objections to the planned processing. This deadline may be extended by one month if the data processing is complex.,art_23_p2,Art. 23 para. 2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_24_1,as quickly as possible,Notification of a breach of data security to the FDPIC,The controller shall notify the FDPIC of any breach of data security that is likely to lead to a high risk to the data subject's personality or fundamental rights as quickly as possible.,art_24_p1,Art. 24 para. 1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_24_3,as quickly as possible,Processor notification of a breach of data security to the controller,The processor shall notify the controller of any breach of data security as quickly as possible.,art_24_p3,Art. 24 para. 3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_25_7,30 days,Deadline to provide information on a right-to-information request,The information shall in general be provided within 30 days.,art_25_p7,Art. 25 para. 7,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_31_2_c_3,ten years,Maximum age of creditworthiness data,The data are no more than ten years old.,art_31_p2_c_3,Art. 31 para. 2 let. c no. 3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_35_3,two years,Evaluation report on a pilot trial,The competent federal body shall submit an evaluation report to the Federal Council no later than two years after the start of the pilot trial.,art_35_p3,Art. 35 para. 3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_35_4,five years,Maximum duration of a pilot trial without a formal enactment,Automated data processing must in every case be discontinued if no formal enactment containing the required legal basis has come into force within five years of the start of the pilot trial.,art_35_p4,Art. 35 para. 4,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_44_1,"four years, may be extended twice",Commissioner's term of office,The Commissioner's term of office amounts to four years and may be extended twice.,art_44_p1,Art. 44 para. 1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_44_2,six months' notice,Termination of the Commissioner's employment contract,The Commissioner may terminate his or her employment contract at the end of any month subject to a period of six months' notice.,art_44_p2,Art. 44 para. 2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_66,five years,Statute of limitations for prosecution,Prosecution is subject to a statute of limitations of five years.,art_66_p0,Art. 66,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
dl_71,five years,Transitional period for the data of legal entities,"For federal bodies, regulations in other federal legislation that relate to personal data shall continue to apply to the data of legal entities for five years from the date on which this Act come into force.",art_71_p0,Art. 71,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
