section_id,chapter_id,number,title,source_document
sec_2_1,ch_2,Section 1,Definitions and Principles,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
sec_2_2,ch_2,Section 2,Data Processing by Private Controllers with Registered Office or Domicile Abroad,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
sec_2_3,ch_2,Section 3,Cross-Border Disclosure of Personal Data,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
sec_7_1,ch_7,Section 1,Organisation,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
sec_7_2,ch_7,Section 2,Investigation of Violations of Data Protection Regulations,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
sec_7_3,ch_7,Section 3,Administrative Assistance,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
sec_7_4,ch_7,Section 4,Other Tasks of the FDPIC,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
sec_7_5,ch_7,Section 5,Fees,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
