penalty_id,offence,sanction_type,maximum_amount,liable_person,prosecution_condition,paragraph_id,citation,source_document
pen_60_1,"Violation of the duty to provide information, the right to information and the duty to cooperate",fine,"not exceeding 250,000 francs",private persons,On complaint,art_60_p1,Art. 60 para. 1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
pen_60_2,"Wilfully providing the FDPIC with false information or failing to cooperate in an investigation, in violation of Article 49 paragraph 3",fine,"not exceeding 250,000 francs",private persons,,art_60_p2,Art. 60 para. 2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
pen_61,Violation of duties of care,fine,"not exceeding 250,000 francs",private persons,On complaint,art_61_p0,Art. 61,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
pen_62_1,Violation of the professional duty of confidentiality,fine,"not exceeding 250,000 francs","any person who, while practising his or her profession, acquires knowledge of secret personal data",on complaint,art_62_p1,Art. 62 para. 1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
pen_62_2,Wilful disclosure of secret personal data learned while carrying on an activity for or while training with a person subject to a duty of confidentiality,fine,"not exceeding 250,000 francs",any person,on complaint,art_62_p2,Art. 62 para. 2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
pen_63,Disregard of decisions,fine,"not exceeding 250,000 francs",any private person,,art_63_p0,Art. 63,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
pen_64_2,Corporate criminal liability - fine ordered against the business instead of pursuing the perpetrators,fine,"not exceeding 50,000 francs",the business,,art_64_p2,Art. 64 para. 2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
