letter_id,parent_paragraph_id,article_id,article_number,paragraph_number,letter,citation,text,source_document
art_2_p1_a,art_2_p1,art_2,2,1,a,Art. 2 para. 1 let. a,private persons;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2_p1_b,art_2_p1,art_2,2,1,b,Art. 2 para. 1 let. b,federal bodies.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2_p2_a,art_2_p2,art_2,2,2,a,Art. 2 para. 2 let. a,personal data being processed by a natural person exclusively for personal use;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2_p2_b,art_2_p2,art_2,2,2,b,Art. 2 para. 2 let. b,personal data being processed by the Federal Assembly and parliamentary committees as part of their deliberations;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2_p2_c,art_2_p2,art_2,2,2,c,Art. 2 para. 2 let. c,personal data being processed by institutional beneficiaries under Article 2 paragraph 1 of the Host State Act of 22 June 2007 who enjoy immunity from jurisdiction in Switzerland.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_4_p2_a,art_4_p2,art_4,4,2,a,Art. 4 para. 2 let. a,the Federal Assembly;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_4_p2_b,art_4_p2,art_4,4,2,b,Art. 4 para. 2 let. b,the Federal Council;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_4_p2_c,art_4_p2,art_4,4,2,c,Art. 4 para. 2 let. c,the federal courts;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_4_p2_d,art_4_p2,art_4,4,2,d,Art. 4 para. 2 let. d,the Office of the Attorney General of Switzerland in relation to processing personal data as part of criminal proceedings;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_4_p2_e,art_4_p2,art_4,4,2,e,Art. 4 para. 2 let. e,federal authorities in relation to processing personal data in terms of a judicial activity or proceedings for international mutual assistance in criminal matters.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_a,art_5_p0,art_5,5,,a,Art. 5 let. a,personal data means any information relating to an identified or identifiable natural person;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_b,art_5_p0,art_5,5,,b,Art. 5 let. b,data subject means a natural person whose personal data is processed;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_c,art_5_p0,art_5,5,,c,Art. 5 let. c,sensitive personal data means:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_d,art_5_p0,art_5,5,,d,Art. 5 let. d,"processing means any handling of personal data, irrespective of the means and procedures used, in particular the collection, storage, keeping, use, modification, disclosure, archiving, deletion or destruction of data;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_e,art_5_p0,art_5,5,,e,Art. 5 let. e,disclosure means transmitting personal data or making such data accessible;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_f,art_5_p0,art_5,5,,f,Art. 5 let. f,"profiling means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person, in particular to analyse or predict aspects concerning that natural person's performance at work, economic situation, health, personal preferences, interests, reliability, behaviour, location or movements;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
