number_id,letter_id,article_id,article_number,paragraph_number,letter,number,citation,text,source_document
art_5_p0_c_1,art_5_p0_c,art_5,5,,c,1,Art. 5 let. c no. 1,"data relating to religious, philosophical, political or trade union-related views or activities,",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_c_2,art_5_p0_c,art_5,5,,c,2,Art. 5 let. c no. 2,"data relating to health, the private sphere or affiliation to a race or ethnicity,",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_c_3,art_5_p0_c,art_5,5,,c,3,Art. 5 let. c no. 3,"genetic data,",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_c_4,art_5_p0_c,art_5,5,,c,4,Art. 5 let. c no. 4,"biometric data that uniquely identifies a natural person,",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_c_5,art_5_p0_c,art_5,5,,c,5,Art. 5 let. c no. 5,"data relating to administrative and criminal proceedings or sanctions,",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_c_6,art_5_p0_c,art_5,5,,c,6,Art. 5 let. c no. 6,data relating to social assistance measures;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_b_1,art_17_p1_b,art_17,17,1,b,1,Art. 17 para. 1 let. b no. 1,between the controller and the data subject; or,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_b_2,art_17_p1_b,art_17,17,1,b,2,Art. 17 para. 1 let. b no. 2,between the controller and its contractual partner in the interests the data subject.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_c_1,art_17_p1_c,art_17,17,1,c,1,Art. 17 para. 1 let. c no. 1,safeguard an overriding public interest; or,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_c_2,art_17_p1_c,art_17,17,1,c,2,Art. 17 para. 1 let. c no. 2,"establish, exercise or enforce legal rights before a court or another competent foreign authority.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3_c_1,art_20_p3_c,art_20,20,3,c,1,Art. 20 para. 3 let. c no. 1,The controller is required to do so because of its own overriding interests.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3_c_2,art_20_p3_c,art_20,20,3,c,2,Art. 20 para. 3 let. c no. 2,The controller does not intend to disclose the personal data to third parties.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3_d_1,art_20_p3_d,art_20,20,3,d,1,Art. 20 para. 3 let. d no. 1,"The measure is required to satisfy overriding public interests, in particular to protect Switzerland's internal or external security.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3_d_2,art_20_p3_d,art_20,20,3,d,2,Art. 20 para. 3 let. d no. 2,"The communication of the information may compromise an enquiry, an investigation or administrative or judicial proceedings.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p2_a_1,art_26_p2_a,art_26,26,2,a,1,Art. 26 para. 2 let. a no. 1,The controller's own overriding interests require the measure.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p2_a_2,art_26_p2_a,art_26,26,2,a,2,Art. 26 para. 2 let. a no. 2,The controller does not intend to disclose the personal data to third parties.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p2_b_1,art_26_p2_b,art_26,26,2,b,1,Art. 26 para. 2 let. b no. 1,"The measure is required to satisfy overriding public interests, in particular Switzerland's internal or external security.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p2_b_2,art_26_p2_b,art_26,26,2,b,2,Art. 26 para. 2 let. b no. 2,"The communication of the information may compromise an enquiry, an investigation or administrative or judicial proceedings.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_c_1,art_31_p2_c,art_31,31,2,c,1,Art. 31 para. 2 let. c no. 1,The matter involves neither sensitive personal data nor high-risk profiling.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_c_2,art_31_p2_c,art_31,31,2,c,2,Art. 31 para. 2 let. c no. 2,The data are only disclosed to third parties if the third parties require the data for the conclusion or the performance of a contract with the data subject.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_c_3,art_31_p2_c,art_31,31,2,c,3,Art. 31 para. 2 let. c no. 3,The data are no more than ten years old.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_c_4,art_31_p2_c,art_31,31,2,c,4,Art. 31 para. 2 let. c no. 4,The data subject has attained the age of majority.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_e_1,art_31_p2_e,art_31,31,2,e,1,Art. 31 para. 2 let. e no. 1,"The controller anonymises the data as soon as the purpose of processing permits; if anonymity is impossible or if it requires disproportionate effort, the controller shall take appropriate measures to prevent the identification of the data subject.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_e_2,art_31_p2_e,art_31,31,2,e,2,Art. 31 para. 2 let. e no. 2,"If the matter involves sensitive personal data, the controller shall disclose such data to third parties in such a manner that the data subject is not identifiable; if this is not possible, it must be guaranteed that the third parties only process the data for purposes unrelated to the data subject's person.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_e_3,art_31_p2_e,art_31,31,2,e,3,Art. 31 para. 2 let. e no. 3,The results are published in such a manner that data subjects are not identifiable.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_55_p2_c_1,art_55_p2_c,art_55,55,2,c,1,Art. 55 para. 2 let. c no. 1,"the data subjects have consented, or",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
