annex_id,label,title,refers_to,note,source_document
annex_1,Annex 1,Repeal and amendment of other legislation,Art. 68,I The following enactments are repealed: 1. Federal Act of 19 June 1992 on Data Protection; 2. Schengen-Data Protection Act of 28 September 2018. II The following enactments are amended as follows: ... The amendments may be consulted under AS 2022 491.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
annex_2,Annex 2,Coordination with other legislation,Art. 68,The coordination provisions may be consulted under AS 2022 491.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
