proficiencylevel_id,level,framework,statement,source_document
LVL-e1,e-1,EN 16234-1 e-CF Dimension 3,There are five (5) defined e-Competence levels e-1 to e-5 related to the EQF learning levels 3 to 8 (EQF levels 1 and 2 are not relevant in this context).,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
LVL-e2,e-2,EN 16234-1 e-CF Dimension 3,There are five (5) defined e-Competence levels e-1 to e-5 related to the EQF learning levels 3 to 8 (EQF levels 1 and 2 are not relevant in this context).,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
LVL-e3,e-3,EN 16234-1 e-CF Dimension 3,There are five (5) defined e-Competence levels e-1 to e-5 related to the EQF learning levels 3 to 8 (EQF levels 1 and 2 are not relevant in this context).,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
LVL-e4,e-4,EN 16234-1 e-CF Dimension 3,There are five (5) defined e-Competence levels e-1 to e-5 related to the EQF learning levels 3 to 8 (EQF levels 1 and 2 are not relevant in this context).,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
LVL-e5,e-5,EN 16234-1 e-CF Dimension 3,There are five (5) defined e-Competence levels e-1 to e-5 related to the EQF learning levels 3 to 8 (EQF levels 1 and 2 are not relevant in this context).,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
