externalframework_id,name,type,description,section_id,source_document
EF-ECF,EN 16234-1:2019 e-Competence Framework (e-CF),standard,"The European Norm (EN) 16234-1 European e-Competence Framework (e-CF) provides a reference of 41 competences as applied in the information and communication technology (ICT) workplace using a standard European language for competences, skills, knowledge and proficiency levels that can be understood across Europe.",SEC-A.1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
EF-ICTPROF,CWA 16458 European ICT Professional Role Profiles,CEN Workshop Agreement,"The CWA 16458 European ICT Professional Role Profiles provides a generic set of typical roles performed by ICT Professionals in any organisation, covering the entire ICT business process. Thirty profiles in total provide a sound starting point and inspiration for the creation of more context-specific and flexible profiles based upon organisational roles, individual job descriptions or sub-domain specialisations from various contexts.",SEC-A.2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
EF-EQF,European Qualifications Framework (EQF),framework,"The EU developed the European Qualifications Framework (EQF) as a translation tool to make national qualifications easier to understand and more comparable. The EQF seeks to support cross-border mobility of learners and workers, and to promote lifelong learning and professional development across Europe. The EQF is an 8-level, learning outcomes-based framework for all types of qualifications.",SEC-A.3,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
EF-ESCO,"ESCO - European Classification of Skills, Competences and Occupations",classification,"ESCO is the multilingual classification of European skills, competences, qualifications and occupations. The key purpose of ESCO is to provide a dictionary, describing, identifying and classifying professional occupations and skills relevant to the EU labour market, education and training and systematically showing the relations between those occupations and skills.",SEC-A.4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
