stakeholderbenefit_id,stakeholder_id,text,table_reference,source_document
SBN-001,STK-ORG,supports the development of a cybersecurity strategy and organisation structure,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-002,STK-ORG,supports the development of cybersecurity human resource planning,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-003,STK-ORG,"provides support in the recruitment process, in particular: the identification of cybersecurity role requirements",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-004,STK-ORG,"provides support in the recruitment process, in particular: the assessment of cybersecurity candidates",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-005,STK-ORG,"provides analysis of cybersecurity role and skills gap and consequent forecasting of needs at individual, team or organisational level",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-006,STK-ORG,"defines development and training plans at individual, team or organisational level",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-007,STK-ORG,supports the evaluation of cybersecurity roles by helping in building customised templates for cybersecurity roles,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-008,STK-ORG,"provides a common and easily understood language for cybersecurity tenders, procurement, vacancies and audits",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-009,STK-LEARN,"supports the design of learning programmes and curricula, re-design and maintenance",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-010,STK-LEARN,"offers collaboration across institutions and mobility in learning programmes, e.g. cross-European learning programmes from multiple institutions",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-011,STK-LEARN,promotes offerings of learning programmes and raises awareness,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-012,STK-LEARN,positions learning outcomes in a real workplace context,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-013,STK-LEARN,supports assessment and recognition processes,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-014,STK-LEARN,provides career orientation to students,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-015,STK-IND,supports individuals in making professional career choices and positioning themselves,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-016,STK-IND,"widens learning perspectives, opens new career paths and promotes professional development to support reskilling and upskilling",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-017,STK-IND,helps understand practical workplace requirements and job expectations in more detail,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-018,STK-IND,identifies formal and non-formal learning paths,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-019,STK-IND,provides support in building career paths,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-020,STK-ASSOC,"allows the consolidation of stakeholder communities to support knowledge sharing, new developments, improvements, and further implementation in EU member states",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-021,STK-ASSOC,provides support in conducting market analysis and presenting the results in a shared language,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-022,STK-ASSOC,helps provide comprehensive professional guidance in the cybersecurity sector,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-023,STK-POLICY,supports a common understanding in the cybersecurity field,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-024,STK-POLICY,stimulates priority planning and cybersecurity capacity building,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-025,STK-POLICY,allows a mapping of many cybersecurity initiatives based on the ECSF profiles,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-026,STK-POLICY,supports policy initiatives based on the data analysis,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-027,STK-ALL,offers a common language for all stakeholders,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-028,STK-ALL,accelerates collaboration by providing a common reference starting point,Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SBN-029,STK-ALL,"provides a shared reference to gather and present cybersecurity professional related information and needs at all levels, at national, European and international levels",Table 2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
