profilecomponent_id,component_name,component_description,table_reference,source_document
PC-01,Profile title,The name of the Professional Role Profile,Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PC-02,Alternative title(s),Lists typical alternative titles under the same profile.,Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PC-03,Summary statement,Indicates the main purpose of the profile.,Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PC-04,Mission,Describes the rationale of the profile.,Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PC-05,Deliverable(s),"A list of typical outcomes of the profile, also explaining profile relevance from a non-expert viewpoint.",Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PC-06,Main task(s),A list of typical tasks performed by the profiled role.,Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PC-07,Key skill(s),A list of abilities needed to perform the work functions and duties of the role. Soft skills and ethics are made explicit in some cases.,Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PC-08,Key knowledge,A list of the essential knowledge required to perform the work functions and duties in the profiled role.,Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PC-09,e-Competences (EN16234-1 e-CF),Connection to EN16234-1 e-Competence Framework (e-CF) - A common European Framework for ICT Professionals in all sectors.,Table 1: The components of each ECSF role profile,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
