viewpoint_id,question,description,section_id,source_document
VP-WORK,What does this role in the organisation do?,"Addresses the workplace perspective (profile sections on mission, deliverables and tasks)",SEC-3.2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
VP-LEARN,What does this role need to know and be able to do?,"Address the learning perspective (profile sections on skills, knowledge and e-CF competences)",SEC-3.2,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
