source_id,target_id,rel_type,figure_reference
MA-PLAN,RP-01,CONTAINS_ROLE_PROFILE,Figure 9
MA-PLAN,RP-03,CONTAINS_ROLE_PROFILE,Figure 9
MA-PLAN,RP-10,CONTAINS_ROLE_PROFILE,Figure 9
MA-PLAN,RP-05,CONTAINS_ROLE_PROFILE,Figure 9
MA-IMPL,RP-08,CONTAINS_ROLE_PROFILE,Figure 9
MA-IMPL,RP-07,CONTAINS_ROLE_PROFILE,Figure 9
MA-OPER,RP-02,CONTAINS_ROLE_PROFILE,Figure 9
MA-OPER,RP-11,CONTAINS_ROLE_PROFILE,Figure 9
MA-OPER,RP-04,CONTAINS_ROLE_PROFILE,Figure 9
MA-IMPR,RP-12,CONTAINS_ROLE_PROFILE,Figure 9
MA-IMPR,RP-09,CONTAINS_ROLE_PROFILE,Figure 9
MA-IMPR,RP-06,CONTAINS_ROLE_PROFILE,Figure 9
