source_id,target_id,rel_type,definition_source
TERM-01,SEC-4,DEFINED_IN,ENISA mandate (Regulation (EU) 2019/881)
TERM-02,SEC-4,DEFINED_IN,ENISA mandate (Regulation (EU) 2019/881)
TERM-03,SEC-4,DEFINED_IN,EN16234-1:2019 e-Competence Framework (e-CF)
TERM-04,SEC-4,DEFINED_IN,EN16234-1:2019 e-Competence Framework (e-CF)
TERM-05,SEC-4,DEFINED_IN,EN16234-1:2019 e-Competence Framework (e-CF)
TERM-06,SEC-4,DEFINED_IN,EN16234-1:2019 e-Competence Framework (e-CF)
TERM-07,SEC-4,DEFINED_IN,EN16234-1:2019 e-Competence Framework (e-CF)
TERM-08,SEC-4,DEFINED_IN,EN16234-1:2019 e-Competence Framework (e-CF)
TERM-09,SEC-4,DEFINED_IN,European Qualifications Framework (EQF)
TERM-10,SEC-4,DEFINED_IN,Creative Leadership - Talent Management; CWA ICT Profiles
TERM-11,SEC-4,DEFINED_IN,ICT Profiles CWA
TERM-12,SEC-4,DEFINED_IN,EN16234-1:2019 e-Competence Framework (e-CF)
TERM-13,SEC-4,DEFINED_IN,EN16234-1:2019 e-Competence Framework (e-CF)
