section_id,number,title,level,parent_section_id,page,source_document
SEC-ES,,EXECUTIVE SUMMARY,1,,5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-1,1,INTRODUCTION,1,,6,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-1.1,1.1,TARGET AUDIENCE,2,SEC-1,6,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-1.2,1.2,STRUCTURE OF THE MANUAL,2,SEC-1,6,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-2,2,UNDERSTANDING THE ECSF,1,,8,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-2.1,2.1,THE ECSF DESIGN PRINCIPLES,2,SEC-2,10,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-2.1.1,2.1.1,Simple yet Comprehensive,3,SEC-2.1,10,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-2.1.2,2.1.2,Flexible and Scalable,3,SEC-2.1,10,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-2.1.3,2.1.3,Open and Impartial,3,SEC-2.1,10,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-2.1.4,2.1.4,European,3,SEC-2.1,11,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-2.2,2.2,THE MAIN BENEFITS PROVIDED BY THE ECSF,2,SEC-2,11,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-3,3,APPLICATIONS OF THE ECSF,1,,14,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-3.1,3.1,EMPLOYING CYBERSECURITY PROFESSIONALS - APPLY THE ECSF AS AN ORGANISATION,2,SEC-3,16,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-3.2,3.2,SKILLING CYBERSECURITY PROFESSIONALS - APPLY THE ECSF AS A LEARNING PROVIDER,2,SEC-3,24,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-3.3,3.3,MAKING OWN CAREER CHOICES - APPLY THE ECSF AS AN INDIVIDUAL PROFESSIONAL,2,SEC-3,27,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-3.4,3.4,BUILDING CYBERSECURITY COMMUNITIES - APPLY THE ECSF AS A PROFESSIONAL ASSOCIATION,2,SEC-3,28,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-3.5,3.5,EMPOWERING THE SECTOR STRATEGICALLY - APPLY THE ECSF AS A POLICY MAKER,2,SEC-3,29,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-4,4,TERMS AND DEFINITIONS,1,,30,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-5,5,REFERENCES,1,,32,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-A,A,ANNEX: CONNECTING THE ECSF TO OTHER EU STANDARDS AND FRAMEWORKS,1,,34,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-A.1,A.1,EN16234-1 E-CF A COMMON EUROPEAN REFERENCE FRAMEWORK FOR ICT PROFESSIONALS IN ALL SECTORS,2,SEC-A,34,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-A.2,A.2,EUROPEAN ICT PROFESSIONAL ROLE PROFILES,2,SEC-A,35,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-A.3,A.3,EUROPEAN QUALIFICATIONS FRAMEWORK,2,SEC-A,36,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-A.4,A.4,"ESCO - EUROPEAN CLASSIFICATION OF SKILLS, COMPETENCES AND OCCUPATIONS",2,SEC-A,36,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-B,B,ANNEX: USE CASES,1,,38,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-B.1,B.1,USE CASE FROM CONCORDIA H2020 PROJECT,2,SEC-B,38,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-B.2,B.2,USE CASE FROM SPARTA H2020 PROJECT,2,SEC-B,40,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-B.3,B.3,USE CASE FROM INCIBE,2,SEC-B,42,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-B.4,B.4,USE CASE FROM THE EUROPEAN CYBER SECURITY ORGANISATION (ECSO),2,SEC-B,44,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
SEC-B.5,B.5,USE CASE FROM ISC2,2,SEC-B,46,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
