escooccupation_id,esco_code,occupation,table_reference,source_document
ESCO-2149.2.8,2149.2.8,Research engineer,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2310.1,2310.1,Higher education lecturer,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2356,2356,Information technology trainer,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2511.18,2511.18,IT auditor,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2519.2,2519.2,ICT auditor manager,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2529.1,2529.1,Chief ICT security officer,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2529.2,2529.2,Digital forensic expert,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2529.3,2529.3,Embedded system security engineer,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2529.4,2529.4,Ethical hacker,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2529.6,2529.6,ICT Security administrator,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2529.7,2529.7,ICT security engineer,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ESCO-2619.4,2619.4,Data protection officer,Table 5: The ESCO profiles and the ECSF profiles relationships,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
