stakeholder_id,name,table_reference,source_document
STK-ORG,Organisations,Table 2: The ECSF potential applications and benefits for stakeholders,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
STK-LEARN,Providers of learning programmes,Table 2: The ECSF potential applications and benefits for stakeholders,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
STK-IND,Individuals,Table 2: The ECSF potential applications and benefits for stakeholders,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
STK-ASSOC,Professional associations,Table 2: The ECSF potential applications and benefits for stakeholders,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
STK-POLICY,Policy makers and government stakeholders,Table 2: The ECSF potential applications and benefits for stakeholders,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
STK-ALL,All,Table 2: The ECSF potential applications and benefits for stakeholders,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
