source_id,target_id,rel_type,statement
DOC-ECSF-UM,RP-01,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-02,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-03,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-04,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-05,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-06,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-07,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-08,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-09,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-10,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-11,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
DOC-ECSF-UM,RP-12,DEFINES_ROLE_PROFILE,The ECSF is comprised of a representative set of 12 role profiles for cybersecurity professionals (presented in Figure 1) that are typically required and applied within organisations deploying cybersecurity professionals.
