reference_id,citation,section_id,source_document
REF-01,"ENISA Mandate, Regulation (EU) 2019/881, https://eur-lex.europa.eu/eli/reg/2019/881/oj",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-02,"European ICT Professional Role Profiles, CWA 16458",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-03,"EN 16234-1:2019 e-Competence Framework (e-CF), A common European Framework for ICT Professionals in all sectors",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-04,CEN/TS 17699:2022 Guidelines for developing ICT Professional Curricula as scoped by EN 16234-1 (e-CF),SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-05,CEN/TS 17834:2022 European Professional Ethics Framework for the ICT Profession (EU ICT Ethics),SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-06,European Qualifications Framework (EQF),SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-07,"ESCO The European multilingual classification of Skills, Competences and Occupations, http://www.ec.europa.eu/esco",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-08,IFIP Code of Ethics,SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-09,NIST Incident Response Lifecycle,SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-10,The National Initiative for Cybersecurity Education (NICE) by the National Institute of Standards and Technology in the US,SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-11,"National Cybersecurity Strategies (NCSSs), https://www.enisa.europa.eu/topics/national-cyber-security-strategies/national-cyber-security-strategies-guidelines-tools",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-12,"The Cybersecurity Body of Knowledge (CyBOK) by the UK National Cyber Security Programme and the University of Bristol, https://www.cybok.org",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-13,"JRC, Taxonomy and glossary for Cybersecurity by European Commission, https://publications.jrc.ec.europa.eu/repository/bitstream/JRC118089/taxonomy-v2.pdf",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-14,"The European Skills Agenda, https://ec.europa.eu/commission/presscorner/detail/en/ip_20_1196",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-15,"Digital Education Action Plan, https://education.ec.europa.eu/focus-topics/digital-education/about/digital-education-action-plan",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-16,"Pact for Skills, https://ec.europa.eu/commission/presscorner/detail/en/qanda_20_1197",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-17,"Leading the Digital Decade, https://ec.europa.eu/commission/presscorner/detail/en/qanda_20_1197",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-18,"ENISA, Forensic Analysis, Webserver analysis, Handbook, Document for teachers, 2016, https://www.enisa.europa.eu/topics/trainings-for-cybersecurity-specialists/online-training-material/documents/2016-resources/exe3_forensic_analysis_iii-handbook",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
REF-19,"Council of Europe, Electronic Evidence in Civil and Administrative Proceedings, Guidelines and explanatory memorandum, 2019, https://rm.coe.int/guidelines-on-electronic-evidence-and-explanatory-memorandum/1680968ab5",SEC-5,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
