usecase_id,title,contributor,section_id,annex_note,source_document
UC-B1,Towards an integrated platform for skills in cyber built on the European Cybersecurity Skills Framework,CONCORDIA H2020 project,SEC-B.1,"A use case shows why and how an organisation is using the ECSF, emphasising the variety of approaches and benefits. This annex is a collection of cases that were publicly available on 20 July 2022.","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
UC-B2,Improving higher education using ECSF and SPARTA Curricula Designer,SPARTA H2020 project,SEC-B.2,"A use case shows why and how an organisation is using the ECSF, emphasising the variety of approaches and benefits. This annex is a collection of cases that were publicly available on 20 July 2022.","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
UC-B3,Use case from INCIBE,INCIBE,SEC-B.3,"A use case shows why and how an organisation is using the ECSF, emphasising the variety of approaches and benefits. This annex is a collection of cases that were publicly available on 20 July 2022.","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
UC-B4,Towards a harmonised education approach with the European Cybersecurity Skills Framework (ECSF),European Cyber Security Organisation (ECSO),SEC-B.4,"A use case shows why and how an organisation is using the ECSF, emphasising the variety of approaches and benefits. This annex is a collection of cases that were publicly available on 20 July 2022.","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
UC-B5,Using the (ISC) CISSP CBK to support the European Cybersecurity Skills Framework / Cybersecurity professional communities,(ISC)2,SEC-B.5,"A use case shows why and how an organisation is using the ECSF, emphasising the variety of approaches and benefits. This annex is a collection of cases that were publicly available on 20 July 2022.","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
UC-B6,Individual Career Decision Making: Professional Credentials European Cybersecurity Skills Framework,ISACA,SEC-B.6,"A use case shows why and how an organisation is using the ECSF, emphasising the variety of approaches and benefits. This annex is a collection of cases that were publicly available on 20 July 2022.","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
UC-B7,Why Workforce Frameworks and Certifications Matter in Cybersecurity,SANS institute and GIAC (Global Information Assurance Certification),SEC-B.7,"A use case shows why and how an organisation is using the ECSF, emphasising the variety of approaches and benefits. This annex is a collection of cases that were publicly available on 20 July 2022.","ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
