response_id,name,description,stated_in,source_document
resp_accept,Accept,No further action is taken to affect the severity of the risk and the risk profile remains the same. This response is appropriate when the performance of the entity and corresponding risk are below the risk appetite line and within the lines indicating acceptable variation in performance.,"Appendix D, Using Risk Profiles when Considering Risk Responses",COSO Enterprise Risk Management Framework.pdf
resp_avoid,Avoid,"Action is taken to remove the risk, which may mean ceasing a product line, declining to expand to a new geographical market, or selling a division. Choosing avoidance suggests that the organization is not able to identify a response that would reduce the impact of the risk to an acceptable severity. Removing a risk will typically shift the curve downwards and/or to the left with the intent of having the target performance to the left of the intersection of the risk curve and the risk appetite.","Appendix D, Using Risk Profiles when Considering Risk Responses",COSO Enterprise Risk Management Framework.pdf
resp_pursue,Pursue,"Action is taken that accepts increased risk to achieve increased performance. This may involve adopting more aggressive growth strategies, expanding operations, or developing new products and services. When choosing to exploit risk, management understands the nature and extent of any changes required to achieve desired performance while not exceeding the target residual risk. Here the risk curve may not change but the target may be set higher, and therefore setting the target at a different point along the risk curve.","Appendix D, Using Risk Profiles when Considering Risk Responses",COSO Enterprise Risk Management Framework.pdf
resp_reduce,Reduce,"Action is taken to reduce the severity of the risk. This involves any of myriad everyday business decisions that reduce residual risk to the target residual risk profile and risk appetite. The intent of the risk response is to change the height and shape of the curve, or applicable sections of the curve, to remain within the risk appetite set for the entity. Alternatively, for risks that are already within the risk appetite, the reduce response may pertain to the reduction in variability of performance through the deployment of additional resources. The effective reduction of a risk would see a flattening of the risk curve for the sections impacted by the risk response.","Appendix D, Using Risk Profiles when Considering Risk Responses",COSO Enterprise Risk Management Framework.pdf
resp_share,Share,"Action is taken to reduce the severity of a risk by transferring or otherwise sharing a portion of the risk. Common techniques include outsourcing to specialist service providers, purchasing insurance products, and engaging in hedging transactions. As with the reduce response, sharing risk lowers residual risk in alignment with risk appetite. A section of the risk curve may change, although the entire risk curve likely shares similarities to one where risk has not been shared.","Appendix D, Using Risk Profiles when Considering Risk Responses",COSO Enterprise Risk Management Framework.pdf
resp_review_obj,Review business objective,The organization chooses to review and potentially revise the business objective given the severity of identified risks and acceptable variation in performance. This may occur when the other categories of risk responses do not represent desired courses of action for the entity.,"Appendix D, Using Risk Profiles when Considering Risk Responses",COSO Enterprise Risk Management Framework.pdf
resp_review_strategy,Review strategy,"The organization chooses to review and potentially revise the strategy given the severity of identified risks and risk appetite of the entity. Similar to reviewing business objectives, this may occur when other categories of risk responses do not represent desired courses of action for the entity. Revisions to a strategy, or adoption of a new strategy, also require that a new risk profile be developed.","Appendix D, Using Risk Profiles when Considering Risk Responses",COSO Enterprise Risk Management Framework.pdf
