element_id,number,name,source_document
elem_1,1,Standards and procedures,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
elem_2,2,"Governance, oversight, and authority",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
elem_3,3,Due diligence in delegation of authority,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
elem_4,4,Communication and training,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
elem_5,5,"Monitoring, auditing, and reporting systems",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
elem_6,6,Incentives and enforcement,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
elem_7,7,Response to wrongdoing,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
elem_8,eighth element,Risk assessment and program improvement,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
