guidance_id,jurisdiction,name,description,stated_in,source_document
guid_ussg,United States,U.S. Federal Sentencing Guidelines (USSG),The current U.S. Federal Sentencing Guidelines (USSG) identify the following seven elements of an effective C&E program:,sec1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_uk,United Kingdom,Ministry of Justice guidance on the Bribery Act 2010,"the United Kingdom’s Ministry of Justice has provided guidance on the Bribery Act 2010, describing procedures that commercial organizations can put in place to minimize the risk of bribery. Those procedures are summarized into the following six principles, which that closely align with the USSG:",sec1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_iso37001,International,ISO 37001 Anti-bribery management systems standard (2016),Guidance has also been issued by the International Organization for Standardization (ISO). Its 2016 ISO 37001 Anti-bribery management systems standard includes the following expectations of a program:,sec1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_iso37301,International,"ISO/DIS 37301 (proposed 2020, to replace ISO 19600:2014)","Beyond bribery, ISO has also issued guidance more broadly on compliance management systems in the form of ISO 19600:2014. Most recently, ISO/DIS 37301 was proposed in 2020 to replace ISO 19600. The draft new standard describes the following five elements of a compliance management system:",sec1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_france,France,French Anticorruption Agency (AFA) guidance under the 2016 French Sapin II Law,"Guidance on anticorruption compliance programs from the French Anticorruption Agency (AFA) in conjunction with the 2016 French Sapin II Law was issued in 2017 and then updated in December 2019. The guidance notes that the compliance officer’s mission may go beyond anticorruption to include other laws, such as anti-money laundering, antitrust, data privacy and others deemed appropriate for the scope of the program. The following eight expected areas of a program are described in the AFA’s guidance:",apx2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_brazil,Brazil,Clean Companies Act (2014) and Decree 8.420/15,"Brazil’s Clean Companies Act, which took effect in 2014, provides for penalties for the commission of certain acts, including bribery, money-laundering, and fraud in public bidding for contracts, and other offenses. The law required the government to issue a regulation on the act, which it did in the form of a 2015 decree (8.420/15). The decree states that a program will be evaluated for its existence and application, according to the following parameters:",apx2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_costarica,Costa Rica,2019 Costa Rican compliance program law,"Costa Rica is another Latin American country (along with Argentina, Peru, and Chile in 2018) to recently enact a law addressing compliance programs. The scope of the 2019 Costa Rican law is domestic and international bribery and corruption, as well as falsifying books and records to conceal such corruption. Significant penalties can be reduced if a company has a compliance program in place. Expectations of the C&E program as described in the law include the following:",apx2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_nz,New Zealand,Anti-Money Laundering and Countering Financing of Terrorism Act (2013),The Anti-Money Laundering and Countering Financing of Terrorism Act took effect in July 2013. One of the requirements of the act is the appointment of a compliance officer and development of a reporting and compliance program.,apx2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_singapore,Singapore,PACT – A Practical Anti-Corruption Guide for Businesses in Singapore (2017),"Singapore’s Corrupt Practices Investigation Bureau in 2017 published “PACT – A Practical Anti-Corruption Guide for Businesses in Singapore” to assist organization’s in complying with The Prevention of Corruption Act. The guide describes the following four steps (thus the acronym, PACT) that companies can take to prevent corruption:",apx2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
guid_spain,Spain,"Amendments to Spain’s Criminal Code effective July 1, 2015","Amendments to Spain’s Criminal Code that took effect on July 1, 2015, provide for the regulation of corporate compliance programs. The amended code provides companies with an exemption from criminal liability for crimes committed by their officers or employees if the company has adopted a compliance program that includes the following six elements:",apx2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
