term_id,term,definition,stated_in,instrument_id,source_document
term_board,Board,"The board of directors or, where appropriate, a board-level committee that has been delegated the responsibility for compliance oversight by the board of directors",Figure 1.4,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_ce_program,C&E program,Compliance and ethics program,Figure 1.4,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_cco,CCO,"The chief compliance officer, chief compliance and ethics officer, or the equivalent title associated with the highest-ranking employee charged with oversight of the C&E program",Figure 1.4,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_compliance_committee,Compliance committee,"An internal committee composed of employees from various departments and functions within an organization whose mission is to advise, inform, and partner with the CCO in communicating and extending the compliance function throughout the organization’s operations",Figure 1.4,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_compliance_risk_fig,Compliance risk,"The possibility that violations of applicable laws, regulations, contractual terms, standards, or internal policies will occur and have a negative financial or nonfinancial impact on the organization",Figure 1.4,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_doj,DOJ,The United States Department of Justice,Figure 1.4,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_ussg,USSG,The United States Federal Sentencing Guidelines,Figure 1.4,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_risk,Risk,the possibility that events will occur and affect the achievement of strategy and business objectives,"Section 1, What are compliance and compliance-related risks?",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_compliance_risks,Compliance risks,"those risks relating to possible violations of applicable laws, regulations, contractual terms, standards, or internal policies where such violation could result in direct or indirect financial liability, civil or criminal penalties, regulatory sanctions, or other negative effects for the organization or its personnel","Section 1, What are compliance and compliance-related risks?",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_compliance_related,Compliance-related risks,"may include risks associated with failures to comply with professional standards, internal policies of an organization (including codes of conduct and business ethics), and contractual obligations","Section 1, What are compliance and compliance-related risks?",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_internal_control,Internal control,"A process, effected by an entity’s board of directors, management, and other personnel, designed to provide reasonable assurance regarding the achievement of objectives relating to operations, reporting, and compliance.","Section 1, The relationship between compliance, internal control, and enterprise risk management",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_erm,Enterprise risk management (ERM),"The culture, capabilities, and practices, integrated with strategy-setting and its performance, that organizations rely on to manage risk in creating, preserving, and realizing value.","Section 1, The relationship between compliance, internal control, and enterprise risk management",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_risk_appetite,Risk appetite,"the types and amount of risk, on a broad level, that the organization is willing to accept in pursuit of value",Principle 7 — Defines risk appetite,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_risk_tolerance,Risk tolerance,the acceptable levels of variation in performance related to business objectives,Principle 7 — Defines risk appetite,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_likelihood,Likelihood,the probability that the risk could occur,Principle 11 — Assesses severity of risk,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_impact,Impact,the result or effect of risk in terms of the organization’s strategy and business objectives,Principle 11 — Assesses severity of risk,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_velocity,Velocity,"the speed at which a risk affects the organization, such as a serious food safety violation that would require immediate closure of a food processing plant",Principle 12 — Prioritizes risks,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_persistence,Persistence,"how long the risk affects the organization, such as media coverage from criminal violations lasting four or five years",Principle 12 — Prioritizes risks,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_recovery,Recovery,"how long it takes to fix the problem (i.e., time needed to manage the risk to tolerable levels), such as how long it takes to implement improved vendor due diligence criteria and processes to reduce the risk of shell company transactions",Principle 12 — Prioritizes risks,coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_monitoring,Monitoring,"in the broad sense, refers to the assessment of whether processes are operating as intended in pursuit of the system’s improvement","Appendix 1, Monitoring, auditing, and reporting systems",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_auditing,Auditing,an assessment by individuals independent of the system,"Appendix 1, Monitoring, auditing, and reporting systems",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_substantial_authority,Substantial authority personnel,individuals who within the scope of their authority exercise a substantial measure of discretion in acting on behalf of an organization,"Appendix 1, Due diligence in delegation of authority",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_anonymous_reporting,Anonymous reporting,"The reporter’s identity is not known (where allowed by law ), often achieved through a hotline or similar mechanism","Appendix 1, Monitoring, auditing, and reporting systems",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_confidential_reporting,Confidential reporting,"The reporter’s identity is known only to a select few, and those few are expected to take reasonable steps to maintain that confidentiality while pursuing the matter","Appendix 1, Monitoring, auditing, and reporting systems",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
term_open_reporting,Open reporting,The reporter is willing or desires to have their identity disclosed without limitations,"Appendix 1, Monitoring, auditing, and reporting systems",coso_compliance_risk_2020,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
