section_id,instrument_id,number,heading,component_id,source_document
sec1,coso_compliance_risk_2020,1,INTRODUCTION,,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
sec2,coso_compliance_risk_2020,2,GOVERNANCE AND CULTURE FOR COMPLIANCE RISKS,comp_1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
sec3,coso_compliance_risk_2020,3,STRATEGY AND OBJECTIVE-SETTING FOR COMPLIANCE RISKS,comp_2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
sec4,coso_compliance_risk_2020,4,PERFORMANCE FOR COMPLIANCE RISKS,comp_3,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
sec5,coso_compliance_risk_2020,5,REVIEW AND REVISION FOR COMPLIANCE RISKS,comp_4,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
sec6,coso_compliance_risk_2020,6,"INFORMATION, COMMUNICATION, AND REPORTING FOR COMPLIANCE RISKS",comp_5,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
