component_id,number,name,applied_in_section,source_document
comp_1,1,Governance & culture,2. GOVERNANCE AND CULTURE FOR COMPLIANCE RISKS,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
comp_2,2,Strategy & objective-setting,3. STRATEGY AND OBJECTIVE-SETTING FOR COMPLIANCE RISKS,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
comp_3,3,Performance,4. PERFORMANCE FOR COMPLIANCE RISKS,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
comp_4,4,Review and revision,5. REVIEW AND REVISION FOR COMPLIANCE RISKS,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
comp_5,5,"Information, communication, and reporting","6. INFORMATION, COMMUNICATION, AND REPORTING FOR COMPLIANCE RISKS",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
