figure_id,label,caption,parent_id,source_document
fig_c1,Figure C.1,Board Oversight Activities,apxC,COSO Enterprise Risk Management Framework.pdf
fig_c2,Figure C.2,Management Roles within Different Entities,apxC,COSO Enterprise Risk Management Framework.pdf
fig_d1,Figure D.1,Risk Profile,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d2,Figure D.2,Risk Profile with Risk Appetite,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d3,Figure D.3,Risk Profile with Risk Capacity,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d4,Figure D.4,Risk Profiles of Alternative Strategies,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d5,Figure D.5,Risk Profile with Performance Targets,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d6,Figure D.6,Assessing Risk Using a Risk Profile,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d7,Figure D.7,Using Risk Profiles to Compare Risks Impacting Objectives,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d8,Figure D.8,Effect of Risk Response,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d9,Figure D.9,Portfolio View Using Entity-Level Objectives,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d10,Figure D.10,Risk Profile Relating to Entity Objective,apxD,COSO Enterprise Risk Management Framework.pdf
fig_d11,Figure D.11,Using Risk Profiles to Monitor Performance,apxD,COSO Enterprise Risk Management Framework.pdf
fig_ex_d1,Example D.1,Developing a Risk Profile,apxD,COSO Enterprise Risk Management Framework.pdf
fig_1_1,Figure 1.1,The COSO 2013 Framework,sec1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_1_2,Figure 1.2,Risk Management Components,sec1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_1_3,Figure 1.3,Risk Management Components - The 20 principles,sec1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_1_4,Figure 1.4,Frequently used terms and abbreviations,sec1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_4_1,Figure 4.1,Approaches for Identifying Risks,principle_10,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_4_2,Figure 4.2,Likelihood of Occurrence,principle_11,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_4_3,Figure 4.3,Impact of Compliance Risks,principle_11,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_4_4,Figure 4.4,Likelihood vs impact matrix,principle_12,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_5_1,Figure 5.1,Auditing and monitoring plan for a high-risk area,principle_16,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
fig_a1,Figure A.1,"Auditing, monitoring and reporting",apx1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
