section_id,chapter_id,number,title,source_document
SEC_3_1,CH_3,Section 1,Basic Policy on the Protection of Personal Information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
SEC_3_2,CH_3,Section 2,Measures of the State,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
SEC_3_3,CH_3,Section 3,Measures of Local Governments,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
SEC_3_4,CH_3,Section 4,Cooperation between the State and Local governments,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
SEC_4_1,CH_4,Section 1,Duties of Entities Handling Personal Information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
SEC_4_2,CH_4,Section 2,Promotion of the Protection of Personal Information by Private Organizations,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
