definedterm_id,term,definition,defined_in,source_document
TERM_personal_information,personal information,"information about a living individual which can identify the specific individual by name, date of birth or other description contained in such information ( including such information as will allow easy reference to other information and will thereby enable the identification of the specific individual)",P_2_1,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_personal_information_database,"a personal information database, etc.",an assembly of information including personal information as set forth below:,P_2_2,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_business_operator,a business operator handling personal information,"a business operator using a personal information database, etc. for its business; however, the following entities shall be excluded;",P_2_3,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_personal_data,personal data,"personal information constituting a personal information database, etc.",P_2_4,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_retained_personal_data,retained personal data,"such personal data over which a business operator handling personal information has the authority to disclose, to correct, add or delete the content, to discontinue its utilization, to erase, and to discontinue its provision to a third party, excluding the data which is specified by a Cabinet Order as harming public or other interests if its presence or absence is known and the data which will be erased within a period of no longer than one year that is specified by a Cabinet Order.",P_2_5,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_person,person,a specific individual identified by personal information.,P_2_6,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_basic_policy,Basic Policy,a basic policy on the protection of personal information,P_7_1,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_purpose_of_utilization,Purpose of Utilization,the purpose of utilization of personal information,P_15_1,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_request_for_disclosure,a request for disclosure and others,"requests that may be made pursuant to the provisions of paragraph 2 of Article 24, paragraph 1 of Article 25, paragraph 1 of Article 26 or paragraph 1 or paragraph 2 of Article 27",P_29_1,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_minister_etc,"minister, etc",a specific minister or the National Public Safety Commission,P_36_1,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_target_entities,target entities,such business operations handling personal information as are the targets of the business,I_37_1_i,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_authorized_organization,authorized personal information protection organization,a business operator authorized under paragraph 1 of Article 37,P_40_1,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_authorized_business,authorized business,the business pertaining to the authorization,P_40_1,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_pi_protection_guidelines,personal information protection guidelines,"guidelines ... in conformity with the purport of the provisions of this Act, concerning the specification of the Purpose of Utilization, security control measures, procedures for complying with individuals' requests, and other matters",P_43_1,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
TERM_news_report,News report,informing many and unspecified individuals or entities of objective facts as the facts (including to state opinions or views based on such facts),P_50_2,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
