chapter_id,number,title,source_document
CH_1,Chapter 1,General Provisions,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
CH_2,Chapter 2,"Responsibilities of the State and Local governments, etc.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
CH_3,Chapter 3,"Measures for the Protection of Personal Information, etc.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
CH_4,Chapter 4,"Duties of Entities Handling Personal Information, etc.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
CH_5,Chapter 5,Miscellaneous Provisions,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
CH_6,Chapter 6,Penal Provisions,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
CH_SUPP,Supplementary Provisions ( Extract),Supplementary Provisions ( Extract),KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
