item_id,parent_id,number,text,source_document
I_2_2_i,P_2_2,(i),an assembly of information systematically arranged in such a way that specific personal information can be retrieved by a computer; or,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_2_2_ii,P_2_2,(ii),"in addition to what is listed in the preceding item, an assembly of information designated by a Cabinet Order as being systematically arranged in such a way that specific personal information can be easily retrieved.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_2_3_i,P_2_3,(i),The State organs,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_2_3_ii,P_2_3,(ii),Local governments,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_2_3_iii,P_2_3,(iii),"Incorporated administrative agencies, etc. ( which means independent administrative agencies as provided in paragraph 1 of Article 2 of the Act on the Protection of Personal Information Held by Incorporated Administrative Agencies, etc. ( Act No. 59 of 2003; the same shall apply hereinafter))",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_2_3_iv,P_2_3,(iv),Local independent administrative institutions ( which means local incorporated administrative agencies as provided in paragraph 1 of Article 2 of the Local Incorporated Administrative Agencies Law. ( Act No. 118 of 2003; the same shall apply hereinafter)),KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_2_3_v,P_2_3,( v),Entities specified by a Cabinet Order as having a little likelihood to harm the rights and interests of individuals considering the volume and the manner of utilization of personal information they handle.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_7_2_i,P_7_2,(i),The basic direction concerning the promotion of measures for the protection of personal information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_7_2_ii,P_7_2,(ii),Matters concerning the measures for the protection of personal information to be taken by the State,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_7_2_iii,P_7_2,(iii),Basic matters concerning the measures for the protection of personal information to be taken by local governments,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_7_2_iv,P_7_2,(iv),"Basic matters concerning the measures for the protection of personal information to be taken by incorporated administrative agencies, etc.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_7_2_v,P_7_2,( v),Basic matters concerning the measures for the protection of personal information to be taken by local incorporated administrative agencies.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_7_2_vi,P_7_2,(vi),Basic matters concerning the measures for the protection of personal information to be taken by entities handling personal information and authorized personal information protection organizations provided in paragraph 1 of Article 40,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_7_2_vii,P_7_2,(vii),Matters concerning the smooth processing of complaints about the handling of personal information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_7_2_viii,P_7_2,(viii),Other important matters concerning the promotion of measures for the protection of personal information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_16_3_i,P_16_3,(i),Cases in which the handling of personal information is based on laws and regulations,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_16_3_ii,P_16_3,(ii),"Cases in which the handling of personal information is necessary for the protection of the life, body, or property of an individual and in which it is difficult to obtain the consent of the person",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_16_3_iii,P_16_3,(iii),Cases in which the handling of personal information is specially necessary for improving public health or promoting the sound growth of children and in which it is difficult to obtain the consent of the person,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_16_3_iv,P_16_3,(iv),"Cases in which the handling of personal information is necessary for cooperating with a state organ, a local government, or an individual or a business operator entrusted by either of the former two in executing the affairs prescribed by laws and regulations and in which obtaining the consent of the person is likely to impede the execution of the affairs concerned",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_18_4_i,P_18_4,(i),"Cases in which notifying the person of the Purpose of Utilization or publicly announcing it are likely to harm the life, body, property, or other rights or interests of the person or a third party",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_18_4_ii,P_18_4,(ii),Cases in which notifying the person of the Purpose of Utilization or publicly announcing it are likely to harm the rights or legitimate interests of the business operator handling personal information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_18_4_iii,P_18_4,(iii),Cases in which it is necessary to cooperate with a state organ or a local government in executing the affairs prescribed by laws and regulations and in which notifying the person of the Purpose of Utilization or publicly announcing it are likely to impede the execution of the affairs,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_18_4_iv,P_18_4,(iv),Cases in which it is considered that the Purpose of Utilization is clear in consideration of the circumstances of the acquisition,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_1_i,P_23_1,(i),Cases in which the provision of personal data is based on laws and regulations,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_1_ii,P_23_1,(ii),"Cases in which the provision of personal data is necessary for the protection of the life, body, or property of an individual and in which it is difficult to obtain the consent of the person",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_1_iii,P_23_1,(iii),Cases in which the provision of personal data is specially necessary for improving public health or promoting the sound growth of children and in which it is difficult to obtain the consent of the person,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_1_iv,P_23_1,(iv),"Cases in which the provision of personal data is necessary for cooperating with a state organ, a local government, or an individual or a business operator entrusted by one in executing the affairs prescribed by laws and regulations and in which obtaining the consent of the person are likely to impede the execution of the affairs",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_2_i,P_23_2,(i),The fact that the provision to a third party is the Purpose of Utilization,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_2_ii,P_23_2,(ii),The items of the personal data to be provided to a third party,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_2_iii,P_23_2,(iii),The means or method of provision to a third party,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_2_iv,P_23_2,(iv),The fact that the provision of such personal data as will lead to the identification of the person to a third party will be discontinued at the request of the person,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_4_i,P_23_4,(i),Cases in which a business operator handling personal information entrust the handling of personal data in whole or in part within the scope necessary for the achievement of the Purpose of Utilization,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_4_ii,P_23_4,(ii),Cases in which personal data is provided as a result of the succession of business in a merger or otherwise,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_23_4_iii,P_23_4,(iii),"Cases in which personal data is used jointly between specific individuals or entities and in which this fact, the items of the personal data used jointly, the scope of the joint users, the purpose for which the personal data is used by them, and the name of the individual or business operator responsible for the management of the personal data is, in advance, notified to the person or put in a readily accessible condition for the person",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_24_1_i,P_24_1,(i),The name of the business operator handling personal information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_24_1_ii,P_24_1,(ii),The Purpose of Utilization of all retained personal data ( except in cases falling under any of items 1 to 3 of paragraph 4 of Article 18),KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_24_1_iii,P_24_1,(iii),"Procedures to meet requests made pursuant to the provisions of the next paragraph, paragraph 1 of the next article, paragraph 1 of Article 26, or paragraph 1 or paragraph 2 of Article 27 ( including the amount of charges if set pursuant to the provision of paragraph 2 of Article 30)",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_24_1_iv,P_24_1,(iv),"In addition to what is listed in the preceding three items, such matters, specified by a Cabinet Order, as being necessary for ensuring the proper handling of retained personal data",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_24_2_i,P_24_2,(i),Cases in which the Purpose of Utilization of such retained personal data as may lead to the identification of the person concerned is clear pursuant to the provision of the preceding paragraph,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_24_2_ii,P_24_2,(ii),Cases falling under any of items 1 to 3 of paragraph 4 of Article 18,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_25_1_i,P_25_1,(i),"Cases in which disclosure is likely to harm the life, body, property, or other rights or interests of the person or a third party",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_25_1_ii,P_25_1,(ii),Cases in which disclosure is likely to seriously impede the proper execution of the business of the business operator handling personal information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_25_1_iii,P_25_1,(iii),Cases in which disclosure violates other laws and regulations,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_36_1_i,P_36_1,(i),"For such handling of personal information by a business operator handling personal information as is related to employment management, Minister of Health, Labor and Welfare ( for such handling of personal information as is related to the employment management of mariners, the Minister of Land, Infrastructure, Transport and Tourism) and the minister, etc. concerned with jurisdiction over the business of the business operator handling personal information",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_36_1_ii,P_36_1,(ii),"For such handling of personal information by a business operator handling personal information as is not falling under the preceding item, the minister, etc. concerned with jurisdiction over the business of the business operator handling personal information",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_37_1_i,P_37_1,(i),"The processing under the provision of Article 42 of complaints about the handling of personal information of such business operations handling personal information as are the targets of the business ( hereinafter referred to as ""target entities"")",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_37_1_ii,P_37_1,(ii),The provision of information for target entities about the matters contributing to ensuring the proper handling of personal information,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_37_1_iii,P_37_1,(iii),"In addition to what is listed in the preceding two items, any business necessary for ensuring the proper handling of personal information by target entities",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_38_i,ART_38,(i),A business operator having received a sentence pursuant to the provisions of this Act with not exceeding two years after the business operator served out the sentence or was exempted from the execution of the sentence,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_38_ii,ART_38,(ii),A business operator whose authorization was rescinded pursuant to the provision of paragraph 1 of Article 48 with not exceeding two years after the rescission,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
I_38_iii,ART_38,(iii),A business operator with an officer ( including the representative or manager of an association or foundation which is not a juridical person with a specified representative or manager. Hereinafter the same shall apply in this article.) conducting the business who falls under any of the following categories:,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
