scf_control_id,cpa_section_id
CLD-10,SECTION-6-1-1308
CPL-01,SECTION-6-1-1305
CPL-01,SECTION-6-1-1307
CPL-01,SECTION-6-1-1308
CFG-01,SECTION-6-1-1305
CFG-02,SECTION-6-1-1305
DCH-01,SECTION-6-1-1305
DCH-01,SECTION-6-1-1307
DCH-01,SECTION-6-1-1308
DCH-13.3,SECTION-6-1-1308
DCH-14,SECTION-6-1-1307
DCH-18.2,SECTION-6-1-1308
DCH-22.1,SECTION-6-1-1306
DCH-23,SECTION-6-1-1307
END-13.3,SECTION-6-1-1308
HRS-06.1,SECTION-6-1-1305
IRO-10.2,SECTION-6-1-1305
IAO-03.2,SECTION-6-1-1305
PES-06.5,SECTION-6-1-1308
PRI-01,SECTION-6-1-1305
PRI-01,SECTION-6-1-1308
PRI-01.1,SECTION-6-1-1308
PRI-01.4,SECTION-6-1-1308
PRI-01.6,SECTION-6-1-1305
PRI-01.6,SECTION-6-1-1308
PRI-02,SECTION-6-1-1305
PRI-02,SECTION-6-1-1308
PRI-02.1,SECTION-6-1-1308
PRI-03,SECTION-6-1-1306
PRI-03.1,SECTION-6-1-1306
PRI-03.2,SECTION-6-1-1306
PRI-03.3,SECTION-6-1-1306
PRI-03.4,SECTION-6-1-1306
PRI-03.5,SECTION-6-1-1308
PRI-03.6,SECTION-6-1-1306
PRI-04,SECTION-6-1-1305
PRI-04.1,SECTION-6-1-1308
PRI-05.1,SECTION-6-1-1308
PRI-05.4,SECTION-6-1-1305
PRI-05.4,SECTION-6-1-1308
PRI-06,SECTION-6-1-1306
PRI-06.1,SECTION-6-1-1306
PRI-06.3,SECTION-6-1-1306
PRI-06.4,SECTION-6-1-1306
PRI-06.5,SECTION-6-1-1306
PRI-06.6,SECTION-6-1-1306
PRI-06.7,SECTION-6-1-1306
PRI-07,SECTION-6-1-1305
PRI-07,SECTION-6-1-1307
PRI-07.1,SECTION-6-1-1305
PRI-07.1,SECTION-6-1-1307
PRI-07.2,SECTION-6-1-1305
PRI-07.4,SECTION-6-1-1306
PRI-07.5,SECTION-6-1-1306
PRM-05,SECTION-6-1-1308
PRM-06,SECTION-6-1-1308
RSK-10,SECTION-6-1-1305
RSK-10,SECTION-6-1-1309
SEA-01,SECTION-6-1-1305
SEA-01,SECTION-6-1-1308
SEA-01.1,SECTION-6-1-1305
SEA-01.1,SECTION-6-1-1308
SEA-02,SECTION-6-1-1305
SEA-02,SECTION-6-1-1308
SEA-03,SECTION-6-1-1305
SEA-03,SECTION-6-1-1308
TPM-01,SECTION-6-1-1305
TPM-05,SECTION-6-1-1305
